episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
2000,49.6,208728.2,410264,333852,99.8500,98.8000,95.7000,86.8000,40.7500,0.0000,144440.45,380.41
4000,98.2,206330.3,475524,335145,99.8500,98.6000,94.9000,84.4000,40.9000,0.0500,144712.28,377.10
6000,146.6,206658.7,424124,336326,99.8500,99.1000,95.7500,85.9000,40.0000,0.0000,144682.08,377.35
8000,195.8,208386.3,404964,336206,99.8500,98.7500,95.7500,86.2000,41.5500,0.0000,144664.90,377.93
10000,243.6,203618.0,387588,336552,99.9000,98.8500,95.8000,85.5000,39.1000,0.0000,145225.81,376.60
12000,292.8,208806.0,387336,336510,99.6500,98.7000,95.5000,84.8000,41.9500,0.0000,144560.96,379.15
14000,341.1,204654.3,423944,336468,99.9000,98.5000,95.4000,84.3500,40.4500,0.0000,144957.42,378.31
16000,389.5,208197.6,466068,337074,99.9000,99.0000,95.6000,85.6000,40.6500,0.0500,144623.83,380.28
18000,438.7,208288.7,417440,336861,99.9000,98.9500,95.4000,85.4500,42.2500,0.0000,144973.34,377.84
20000,487.3,206639.2,387360,336868,99.7000,98.4000,95.3000,85.0000,41.1500,0.0000,145163.54,377.29
22000,536.1,205749.0,420628,336630,99.8000,99.3000,95.5500,85.4000,40.2000,0.0000,145120.45,376.62
24000,584.8,205478.1,456760,336517,99.8500,98.9500,96.2000,85.1000,39.3500,0.0500,145247.71,377.12
26000,633.4,208241.5,469012,336726,99.9000,99.1000,96.3000,86.6000,41.2500,0.0500,145041.43,378.86
28000,683.4,208758.0,389244,336292,99.9500,98.8500,95.2500,84.0000,42.0500,0.0000,144711.81,378.94
30000,731.9,205407.2,408812,336242,99.9500,98.8000,95.1000,84.5500,40.6500,0.0000,145037.26,379.87
32000,780.7,205123.3,411668,336086,99.8500,98.8000,95.7500,85.9000,39.7500,0.0000,145540.84,377.66
34000,830.2,210550.2,387076,336136,99.9000,99.2000,96.2000,87.0000,41.9000,0.0000,145107.11,376.23
36000,878.9,205944.8,388536,336127,99.8500,99.0500,95.9000,86.0500,40.3000,0.0000,145422.61,379.14
38000,926.7,204412.6,553604,336261,99.8000,98.5500,95.5500,84.3000,40.0000,0.1500,145284.62,381.85
40000,976.1,209656.8,387724,336239,99.8000,98.8000,96.0000,85.1000,42.1000,0.0000,145144.04,375.91
42000,1026.6,214464.0,523592,336236,99.9000,99.2000,95.9500,87.3000,42.9000,0.0500,144727.58,377.69
44000,1076.0,207519.9,439740,336064,99.8500,99.2500,95.9000,86.5500,41.3500,0.0000,145671.55,375.62
