episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
2000,47.9,204722.2,405472,339185,99.6500,98.8000,95.3000,85.6000,39.9000,0.0000,144995.02,377.84
4000,95.4,203958.2,411816,340119,99.8500,98.7500,95.0500,84.7500,39.3000,0.0000,144922.44,375.15
6000,143.4,206686.9,405268,340669,99.9000,98.5500,95.3000,84.3500,40.1000,0.0000,144670.45,376.73
8000,192.0,209811.7,417684,341043,99.9500,99.0000,95.4000,86.6000,41.6000,0.0000,144761.14,374.21
10000,240.3,207427.6,405424,340898,99.8000,98.8500,95.7500,85.5000,40.9000,0.0000,144983.72,374.05
12000,288.8,209124.2,531300,341130,99.8500,98.6000,95.2500,86.5500,40.9000,0.0500,144853.71,375.03
14000,337.4,208170.6,579336,340902,99.8000,98.9000,95.2000,85.1500,41.5000,0.1000,144841.29,377.47
16000,385.8,210420.5,473832,341332,99.8500,98.9500,95.1500,86.3500,42.1500,0.0000,144910.42,373.97
18000,433.9,207635.4,415676,341411,99.9000,98.7500,96.4000,85.1500,41.6000,0.0000,145079.92,378.18
20000,482.5,209219.7,409628,341370,100.0000,98.9500,95.7500,86.1500,41.1500,0.0000,145100.68,375.03
22000,530.8,210396.6,406740,341716,99.9000,98.8000,95.3500,86.6000,41.9500,0.0000,145002.06,374.61
24000,579.6,208937.5,581548,341488,99.8000,98.5000,95.2000,86.0500,41.5500,0.1000,145249.23,375.36
26000,628.1,208278.5,557660,341353,99.9000,99.0000,95.5500,85.0000,41.4000,0.0500,145263.79,374.79
28000,676.4,208466.8,467948,341399,99.7000,98.9500,95.2500,85.6000,41.9500,0.0500,145374.60,375.26
30000,724.1,207144.3,422148,341584,99.8000,98.6000,95.0500,84.6500,41.5500,0.0000,145487.40,374.14
32000,772.6,210339.5,530064,341696,99.8000,98.6000,95.2500,85.0000,42.6500,0.0500,144963.34,379.73
34000,821.5,207881.8,409660,341404,99.8000,98.9000,95.4500,86.2000,41.2000,0.0000,145473.55,374.96
36000,869.9,208598.5,529300,341366,99.8500,98.9500,95.1500,85.3000,42.4000,0.0500,145779.38,374.93
38000,918.0,204703.6,388160,341193,99.6000,98.3500,94.7000,84.0500,39.8000,0.0000,145693.79,375.20
40000,967.1,210803.4,411472,341111,99.8000,98.8500,95.7000,85.6500,42.9000,0.0000,145389.77,377.03
42000,1015.3,210340.0,510712,341326,99.7500,98.7000,95.6000,86.9000,42.2500,0.0500,145731.69,373.89
44000,1062.9,211099.8,431448,341754,99.8500,99.0000,95.9000,86.7500,42.9000,0.0000,145392.36,378.22
