episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
2000,55.0,207059.8,512300,298782,99.9000,98.9000,95.7500,86.7000,40.0000,0.1000,144414.38,381.53
4000,109.9,210288.3,515312,300922,99.9500,99.2500,95.9500,85.0500,42.6500,0.0500,144537.10,380.21
6000,164.8,206068.5,419540,299877,99.8000,98.7500,95.0000,84.5500,40.8500,0.0000,144947.14,378.08
8000,220.2,208725.7,508528,299524,99.8500,98.4500,95.0500,85.7500,41.1500,0.0500,144637.98,377.84
10000,274.9,205690.2,488556,299262,99.8500,98.6000,95.2000,84.2500,41.5500,0.0500,144704.69,384.31
12000,328.1,203373.4,409956,299915,99.6500,98.4500,95.1000,84.6000,39.6500,0.0000,145354.33,378.51
14000,383.2,208838.8,411748,299946,99.8000,98.4500,95.0000,85.5500,41.4000,0.0000,144676.82,380.47
16000,437.5,207450.5,583400,300329,99.7500,98.6500,95.5000,85.1500,40.8500,0.0500,145115.43,377.73
18000,492.4,206357.3,551148,300068,99.7000,98.4000,95.0000,85.4000,40.3500,0.0500,145041.27,380.98
20000,548.0,210222.5,488648,299958,99.9000,98.4500,95.3000,86.1000,42.0000,0.1000,144995.20,379.90
22000,603.4,207720.0,456268,299719,99.9000,99.0500,95.6500,86.4500,40.3500,0.0000,145419.82,377.20
24000,659.0,208199.2,509548,299471,99.9500,98.5500,95.1500,84.9000,40.8500,0.0500,145153.82,378.98
26000,714.9,210222.1,425028,299335,99.8500,98.8000,96.2500,86.4500,41.3500,0.0000,145073.79,380.94
28000,771.2,211398.8,479992,299175,99.9000,99.0500,95.4500,86.1500,42.8000,0.0500,145136.98,379.87
30000,825.7,205203.7,411300,299141,99.9000,98.5500,95.2000,84.5000,39.4000,0.0000,145358.74,382.45
32000,881.5,209766.8,532740,299062,100.0000,99.2000,95.9000,86.1000,41.2500,0.1500,145298.53,380.81
34000,936.6,206913.1,484916,298978,99.9500,98.9500,95.2500,85.2500,40.5500,0.1000,145700.46,378.41
36000,991.7,209977.3,407372,299133,99.9000,98.6500,95.6000,85.8000,42.0500,0.0000,145664.97,377.97
38000,1046.4,206479.3,388556,299160,99.7500,98.8000,95.8500,84.9000,40.2000,0.0000,146007.76,375.87
