score,max_tile,moves
383288,16384,14668
382824,16384,14612
342780,16384,12985
315884,16384,11817
380824,16384,14534
383424,16384,14697
366524,16384,13886
383100,16384,14622
338884,16384,12797
585148,32768,20446
338468,16384,12809
176728,8192,7428
387068,16384,14888
382496,16384,14572
385584,16384,14800
384960,16384,14766
383252,16384,14659
366284,16384,13892
386280,16384,14851
290404,16384,11160
380024,16384,14556
382536,16384,14609
382156,16384,14558
386792,16384,14841
382268,16384,14545
289456,16384,11099
338876,16384,12821
380872,16384,14481
383520,16384,14727
383308,16384,14674
583276,32768,20310
341096,16384,12885
387148,16384,14914
363564,16384,13803
374544,16384,14263
385660,16384,14756
319328,16384,11928
330020,16384,12361
363576,16384,13768
338460,16384,12727
289848,16384,11129
383128,16384,14645
383592,16384,14744
387128,16384,14909
381744,16384,14550
383428,16384,14687
342524,16384,12975
376984,16384,14388
382888,16384,14600
341872,16384,13003
387148,16384,14865
384772,16384,14721
342792,16384,13031
382964,16384,14635
367048,16384,13974
367324,16384,13993
384752,16384,14715
342912,16384,13039
386232,16384,14805
387256,16384,14896
367164,16384,13971
382832,16384,14607
386172,16384,14844
383144,16384,14597
333476,16384,12532
382556,16384,14626
382460,16384,14642
385288,16384,14769
385368,16384,14740
334364,16384,12613
343568,16384,13074
343236,16384,13055
577580,32768,20493
378664,16384,14488
339036,16384,12806
343044,16384,13055
342876,16384,13025
386444,16384,14800
383208,16384,14660
386788,16384,14904
382956,16384,14618
342684,16384,12966
342876,16384,13013
381140,16384,14527
381668,16384,14580
380996,16384,14481
365260,16384,13847
384356,16384,14743
383364,16384,14671
381304,16384,14493
284604,16384,10843
342956,16384,13051
375724,16384,14257
383196,16384,14708
367112,16384,13948
290436,16384,11174
365368,16384,13854
586304,32768,20511
383296,16384,14670
627668,32768,22170
342440,16384,13017
385772,16384,14836
381652,16384,14580
385632,16384,14807
339348,16384,12884
385532,16384,14782
382560,16384,14643
323408,16384,12135
385588,16384,14779
289960,16384,11155
382912,16384,14687
366188,16384,13846
382820,16384,14595
374624,16384,14230
378100,16384,14417
381636,16384,14533
378192,16384,14419
386648,16384,14825
388108,16384,14917
381452,16384,14530
356744,16384,13390
382932,16384,14639
385380,16384,14786
376428,16384,14330
377276,16384,14345
376980,16384,14370
385112,16384,14762
342256,16384,13037
382896,16384,14650
382872,16384,14629
367344,16384,14043
338892,16384,12783
387176,16384,14872
529484,32768,18434
383512,16384,14712
382724,16384,14627
378568,16384,14454
385016,16384,14689
375840,16384,14211
382380,16384,14565
385020,16384,14761
340376,16384,12860
382900,16384,14602
338980,16384,12819
382588,16384,14605
382460,16384,14589
38004,2048,1996
367156,16384,13968
177336,8192,7469
343192,16384,13061
341448,16384,12961
367032,16384,13933
361832,16384,13701
381512,16384,14545
378412,16384,14469
326784,16384,12318
387140,16384,14894
385184,16384,14786
387020,16384,14838
378072,16384,14405
383260,16384,14667
364140,16384,13813
290956,16384,11281
288816,16384,11067
381648,16384,14582
378000,16384,14411
168352,8192,7000
523980,32768,18125
342372,16384,12973
381592,16384,14570
382988,16384,14624
378248,16384,14437
613864,32768,21629
367244,16384,13941
289736,16384,11121
374180,16384,14183
383088,16384,14634
385428,16384,14747
367368,16384,13972
339916,16384,12897
384900,16384,14781
366356,16384,13875
289628,16384,11094
380672,16384,14459
609604,32768,21372
382648,16384,14615
378276,16384,14456
381388,16384,14541
339068,16384,12809
385272,16384,14771
364164,16384,13788
376528,16384,14306
383004,16384,14640
340336,16384,12902
383124,16384,14628
333152,16384,12483
270044,16384,10210
367084,16384,13946
386848,16384,14812
385672,16384,14804
