score,max_tile,moves
77452,4096,3567
167480,8192,6926
152192,8192,6207
322572,16384,12083
173512,8192,7265
338928,16384,12794
356964,16384,13400
36140,2048,1866
338512,16384,12805
338384,16384,12767
342396,16384,12990
284672,16384,10815
177336,8192,7463
364332,16384,13729
338568,16384,12784
386104,16384,14781
333372,16384,12542
339112,16384,12825
358176,16384,13510
341060,16384,12881
318660,16384,11868
343580,16384,13052
175168,8192,7312
365212,16384,13799
288140,16384,11043
339444,16384,12827
176696,8192,7420
341968,16384,12961
363096,16384,13766
168356,8192,6999
340384,16384,12885
174512,8192,7255
247184,16384,9369
175584,8192,7352
359004,16384,13580
123704,8192,5118
173248,8192,7194
27524,2048,1440
382220,16384,14590
376620,16384,14360
357120,16384,13440
385072,16384,14783
340844,16384,12962
322192,16384,12064
377484,16384,14373
281112,16384,10663
377928,16384,14448
366928,16384,13950
172828,8192,7191
338308,16384,12763
374380,16384,14233
277276,16384,10457
279188,16384,10550
330720,16384,12390
168296,8192,6997
70472,4096,3218
342732,16384,13014
178900,8192,7540
168120,8192,6957
375112,16384,14284
372356,16384,14065
363116,16384,13730
259840,16384,9694
110552,8192,4484
133112,8192,5611
312516,16384,11611
353708,16384,13213
173732,8192,7288
348320,16384,13166
374412,16384,14209
376020,16384,14240
310852,16384,11919
340364,16384,12946
341208,16384,12917
172116,8192,7082
289796,16384,11119
364760,16384,13818
294104,16384,11378
382912,16384,14595
378212,16384,14473
173240,8192,7220
338348,16384,12763
337292,16384,12707
289424,16384,11104
290660,16384,11223
352356,16384,13145
168420,8192,7011
315292,16384,11667
374304,16384,14194
362780,16384,13686
110896,8192,4541
290512,16384,11169
338748,16384,12763
288064,16384,11024
362172,16384,13673
178044,8192,7533
356244,16384,13344
354528,16384,13318
177236,8192,7439
372452,16384,14056
177228,8192,7437
378196,16384,14437
175180,8192,7299
360644,16384,13554
285216,16384,10911
356664,16384,13452
74484,4096,3416
358048,16384,13463
281628,16384,10709
341244,16384,12910
70972,4096,3243
377508,16384,14371
330100,16384,12332
353884,16384,13297
361676,16384,13678
172224,8192,7130
378536,16384,14460
172628,8192,7237
340568,16384,12919
51412,4096,2348
176692,8192,7374
344888,16384,13100
340976,16384,12959
333212,16384,12519
298720,16384,11424
351780,16384,13368
340828,16384,12901
336340,16384,12609
285464,16384,10949
286188,16384,10902
177252,8192,7442
376600,16384,14281
365984,16384,13858
341648,16384,12906
323036,16384,12133
365504,16384,13868
380976,16384,14509
356392,16384,13381
285036,16384,10855
354560,16384,13264
270488,16384,10260
330148,16384,12354
340504,16384,12870
270004,16384,10263
365532,16384,13884
363084,16384,13720
59340,4096,2734
320656,16384,11916
340756,16384,12929
290180,16384,11136
322784,16384,12087
374168,16384,14193
326772,16384,12296
290368,16384,11134
360824,16384,13573
342996,16384,13039
175716,8192,7384
285516,16384,10847
285240,16384,10905
372272,16384,14038
286768,16384,10970
366260,16384,13931
352404,16384,13154
274464,16384,10502
125500,8192,5242
84360,4096,3937
376428,16384,14302
289912,16384,11144
246108,16384,9309
74324,4096,3366
342728,16384,13010
245984,16384,9271
365408,16384,13875
376304,16384,14321
321824,16384,12040
383348,16384,14684
366996,16384,13923
155464,8192,6418
374976,16384,14254
384352,16384,14665
177260,8192,7432
358868,16384,13547
373468,16384,14135
99460,8192,3965
337296,16384,12697
341856,16384,12937
333152,16384,12504
339252,16384,12866
337748,16384,12751
357436,16384,13466
329456,16384,12284
147904,8192,6039
328304,16384,12376
342024,16384,12944
175532,8192,7333
338100,16384,12736
329252,16384,12309
378348,16384,14461
341808,16384,12940
356684,16384,13407
315696,16384,11765
113568,8192,4692
156800,8192,6463
276876,16384,10377
340512,16384,12876
322128,16384,12070
268652,16384,10122
76352,4096,3467
362504,16384,13700
361556,16384,13716
167268,8192,6905
342528,16384,12945
342812,16384,13019
330592,16384,12360
357000,16384,13485
367012,16384,13944
290116,16384,11104
381388,16384,14542
356312,16384,13366
128868,8192,5333
177200,8192,7434
283744,16384,10745
172428,8192,7130
327148,16384,12148
365376,16384,13839
333884,16384,12558
177024,8192,7386
366712,16384,13928
367220,16384,13931
363524,16384,13775
376404,16384,14319
376504,16384,14329
342956,16384,13034
270276,16384,10221
176120,8192,7342
279120,16384,10623
277404,16384,10466
339068,16384,12835
39740,2048,2079
381248,16384,14501
342116,16384,12936
76760,4096,3525
365388,16384,13848
287796,16384,10989
383084,16384,14674
364400,16384,13785
342356,16384,13028
354600,16384,13316
357408,16384,13443
332116,16384,12485
376244,16384,14318
177128,8192,7421
285860,16384,10885
337820,16384,12709
342764,16384,13028
342712,16384,13021
342736,16384,12978
358664,16384,13579
342644,16384,13010
289672,16384,11106
330972,16384,12424
152548,8192,6256
160668,8192,6674
317660,16384,11858
239784,16384,8923
355876,16384,13365
80600,4096,3748
342176,16384,12951
326972,16384,12366
337604,16384,12701
381364,16384,14508
133060,8192,5607
327992,16384,12608
288460,16384,11042
176884,8192,7412
244444,16384,9190
78672,4096,3608
380948,16384,14529
120700,8192,4937
341180,16384,12911
280420,16384,10627
290348,16384,11164
372848,16384,14122
332308,16384,12437
361352,16384,13616
278804,16384,10497
290596,16384,11207
338816,16384,12774
381124,16384,14491
382248,16384,14601
384632,16384,14729
104932,8192,4264
357908,16384,13498
177944,8192,7509
175588,8192,7337
244512,16384,9203
246292,16384,9331
289332,16384,11065
176872,8192,7419
278760,16384,10677
225096,16384,8313
177256,8192,7448
385076,16384,14770
331516,16384,12395
365320,16384,13872
338848,16384,12807
339228,16384,12832
8676,512,599
338120,16384,12722
358064,16384,13495
325680,16384,12220
338976,16384,12812
257832,16384,9589
321168,16384,12017
327080,16384,12345
373248,16384,14140
332420,16384,12496
246320,16384,9338
376092,16384,14295
122244,8192,5053
286436,16384,10915
372892,16384,14117
332508,16384,12488
290316,16384,11173
361088,16384,13624
354616,16384,13305
340968,16384,12901
357668,16384,13443
323000,16384,12141
364716,16384,13803
287580,16384,11027
37988,2048,1991
380800,16384,14491
334876,16384,12625
173004,8192,7245
270312,16384,10233
81456,4096,3782
281244,16384,10703
80820,4096,3771
328856,16384,12614
261044,8192,10475
79720,4096,3674
16172,1024,954
290500,16384,11184
365232,16384,13811
342912,16384,13022
352628,16384,13177
341728,16384,12905
384536,16384,14695
177128,8192,7434
339192,16384,12825
340560,16384,12864
337636,16384,12777
172976,8192,7191
284828,16384,10837
129092,8192,5394
354304,16384,13291
182436,8192,7556
344740,16384,13154
321948,16384,12066
342972,16384,13038
367388,16384,13968
374032,16384,14204
132984,8192,5597
342984,16384,13040
340444,16384,12870
333664,16384,12551
341212,16384,13041
171572,8192,7111
37860,2048,1981
132708,8192,5571
343000,16384,13045
176232,8192,7366
176376,8192,7354
247288,16384,9393
340316,16384,12835
245968,16384,9284
336880,16384,12711
367268,16384,13996
315828,16384,11804
289200,16384,11036
246380,16384,9338
80440,4096,3714
361352,16384,13602
339536,16384,12817
362292,16384,13641
373952,16384,14190
362976,16384,13763
364792,16384,13743
176224,8192,7372
119904,8192,4888
270508,16384,10265
343076,16384,13059
384644,16384,14693
56968,4096,2621
262148,16384,9842
384352,16384,14682
362284,16384,13666
317132,16384,11751
171332,8192,7057
338144,16384,12712
177220,8192,7436
157176,8192,6509
364656,16384,13788
129148,8192,5375
289828,16384,11127
290360,16384,11185
260172,16384,9669
157828,8192,6559
270480,16384,10275
386552,16384,14861
176344,8192,7389
222876,16384,8226
372532,16384,14100
288360,16384,11021
75352,4096,3440
333872,16384,12560
176708,8192,7424
246424,16384,9364
380808,16384,14465
281636,16384,10738
363572,16384,13837
288076,16384,11012
254180,16384,9678
364856,16384,13854
175420,8192,7301
374276,16384,14252
224644,16384,8304
264844,16384,10016
217880,8192,9112
359848,16384,13609
322936,16384,12125
375344,16384,14216
353712,16384,13243
362360,16384,13677
374340,16384,14239
290560,16384,11177
332576,16384,12503
342324,16384,12971
337224,16384,12645
344068,16384,13120
157292,8192,6539
17024,1024,1034
333860,16384,12540
266484,16384,10023
290264,16384,11124
176676,8192,7416
381344,16384,14509
176380,8192,7379
338516,16384,12772
354128,16384,13279
176432,8192,7383
293632,16384,11246
367244,16384,13954
383024,16384,14647
380464,16384,14457
177004,8192,7402
381568,16384,14555
156044,8192,6416
342044,16384,12973
322884,16384,12112
341744,16384,12991
339804,16384,12885
270444,16384,10274
243812,16384,9198
343056,16384,13042
372440,16384,14069
132956,8192,5590
290292,16384,11159
377572,16384,14393
356092,16384,13438
322172,16384,12037
79424,4096,3648
382628,16384,14632
213028,16384,7687
322992,16384,12123
175720,8192,7337
328272,16384,12403
60364,4096,2798
321320,16384,12003
155984,8192,6469
288672,16384,11036
240836,16384,9015
332636,16384,12547
331572,16384,12429
373760,16384,14191
171636,8192,7124
376180,16384,14304
148172,8192,6062
286352,16384,10910
321828,16384,12021
285332,16384,10910
68244,4096,3087
286800,16384,10961
354188,16384,13278
245444,16384,9259
60324,4096,2793
364876,16384,13837
333248,16384,12527
363648,16384,13795
366532,16384,13958
343148,16384,13081
242036,16384,9080
176552,8192,7401
332496,16384,12515
176636,8192,7418
176528,8192,7373
177244,8192,7440
234000,16384,8686
176564,8192,7389
138276,8192,5843
385144,16384,14751
330044,16384,12366
304920,16384,11585
132692,8192,5561
290232,16384,11117
132232,8192,5533
177272,8192,7452
342768,16384,13036
176636,8192,7405
366856,16384,13941
113636,8192,4728
176684,8192,7402
322900,16384,12117
128320,8192,5344
251868,16384,9653
323260,16384,12153
329808,16384,12320
60800,4096,2842
330100,16384,12380
334376,16384,12632
376464,16384,14307
151964,8192,6227
219848,8192,9201
363372,16384,13752
289628,16384,11105
172836,8192,7214
104232,8192,4245
338824,16384,12781
322824,16384,12134
286400,16384,10926
361540,16384,13644
364988,16384,13791
129328,8192,5391
242152,16384,9081
337172,16384,12661
363244,16384,13678
173108,8192,7197
340672,16384,12908
247156,16384,9371
77252,4096,3537
268496,16384,10112
364604,16384,13817
244464,16384,9203
365456,16384,13866
353860,16384,13244
176564,8192,7399
291032,16384,11163
338352,16384,12774
176608,8192,7399
340372,16384,12815
289548,16384,11070
33368,2048,1725
289904,16384,11114
115248,8192,4810
381684,16384,14587
362536,16384,13663
382596,16384,14667
378184,16384,14399
177044,8192,7422
173412,8192,7252
174632,8192,7286
148216,8192,6077
172608,8192,7163
338140,16384,12726
72936,4096,3354
287908,16384,10980
163644,8192,6714
354300,16384,13272
330024,16384,12341
173156,8192,7197
340928,16384,12897
342968,16384,13033
225136,16384,8343
371932,16384,14056
342072,16384,12942
381932,16384,14585
290416,16384,11175
271316,16384,10305
176724,8192,7424
376636,16384,14341
287028,16384,10955
249508,16384,9515
288032,16384,11020
290300,16384,11134
332536,16384,12508
327400,16384,12183
176392,8192,7373
338716,16384,12805
332652,16384,12504
342780,16384,12989
290308,16384,11195
269680,16384,10203
313012,16384,11566
366952,16384,13913
318932,16384,11876
164380,8192,6802
344880,16384,13115
358020,16384,13489
117560,8192,4747
290108,16384,11140
290784,16384,11249
173992,8192,7289
133508,8192,5622
172604,8192,7183
277700,16384,10528
173288,8192,7226
361244,16384,13579
273676,16384,10439
355516,16384,13374
290344,16384,11149
173748,8192,7268
336548,16384,12646
342560,16384,12978
283944,16384,10763
380732,16384,14473
171860,8192,7141
104520,8192,4225
363116,16384,13711
341192,16384,12908
167500,8192,6948
334052,16384,12596
173288,8192,7225
175940,8192,7375
365456,16384,13864
331844,16384,12479
382264,16384,14601
367184,16384,13972
340884,16384,12903
380836,16384,14490
173540,8192,7257
367092,16384,13995
177040,8192,7443
