score,max_tile,moves
275496,16384,10506
225424,16384,8351
163652,8192,6714
36584,2048,1911
321380,16384,12057
152096,8192,6281
285620,16384,10864
259360,16384,9667
290568,16384,11197
88588,4096,4132
37976,2048,1988
311896,16384,11522
290040,16384,11124
68248,4096,3063
174992,8192,7283
241696,16384,9018
28832,2048,1512
132872,8192,5568
381236,16384,14577
286424,16384,10917
72196,4096,3330
176364,8192,7385
288480,16384,11044
278880,16384,10657
364756,16384,13825
290272,16384,11176
131244,8192,5483
381152,16384,14503
286468,16384,10944
324444,16384,12183
288460,16384,11044
289316,16384,11096
113068,8192,4666
343084,16384,13056
168324,8192,7013
178320,8192,7586
332820,16384,12484
367940,16384,13991
27004,2048,1384
177072,8192,7408
362920,16384,13717
20104,1024,1171
312492,16384,11932
291500,16384,11253
378372,16384,14459
279424,16384,10715
376712,16384,14357
104344,8192,4225
364080,16384,13784
173376,8192,7247
227956,16384,8492
200692,8192,7944
111892,8192,4596
168424,8192,7016
277544,16384,10601
337440,16384,12727
28284,2048,1470
365636,16384,13904
382360,16384,14549
381728,16384,14614
61120,4096,2817
177560,8192,7475
177060,8192,7431
80528,4096,3731
319956,16384,11857
288304,16384,10987
367144,16384,13959
266612,16384,10056
177260,8192,7451
152844,8192,6242
342776,16384,12988
279560,16384,10552
157452,8192,6547
70256,4096,3209
366348,16384,13889
341532,16384,12938
132896,8192,5589
163732,8192,6837
265632,16384,9956
157352,8192,6553
166696,8192,6901
286520,16384,10953
40280,2048,2116
157756,8192,6560
157132,8192,6514
268592,16384,10120
280964,16384,10701
83768,4096,3854
312124,16384,11515
171532,8192,7090
364892,16384,13842
380872,16384,14519
342272,16384,13003
37780,2048,1969
343572,16384,13058
383216,16384,14663
74768,4096,3397
357552,16384,13643
376500,16384,14344
67884,4096,3083
171300,8192,7098
114260,8192,4785
284384,16384,10851
80452,4096,3712
175060,8192,7317
174684,8192,7263
285900,16384,10913
75392,4096,3423
29460,2048,1557
236108,16384,8782
245780,16384,9328
364512,16384,13782
286612,16384,10932
172920,8192,7194
175272,8192,7312
149948,8192,6194
336584,16384,12659
340668,16384,12830
151444,8192,6225
290848,16384,11207
172028,8192,7134
287920,16384,10984
175392,8192,7304
316992,16384,11723
79724,4096,3670
131244,8192,5481
341784,16384,12950
333732,16384,12554
382524,16384,14637
157004,8192,6482
176712,8192,7426
246300,16384,9349
277488,16384,10475
176252,8192,7358
371728,16384,14022
375224,16384,14253
182680,8192,7585
134748,8192,5718
384916,16384,14772
362272,16384,13771
168180,8192,7004
281276,16384,10675
331628,16384,12553
131140,8192,5452
52228,4096,2404
338252,16384,12770
175592,8192,7349
165772,8192,6815
163984,8192,6731
168308,8192,6999
79784,4096,3674
276656,16384,10471
322976,16384,12114
174764,8192,7259
343752,16384,13081
149024,8192,6100
176636,8192,7422
356984,16384,13577
134316,8192,5685
330180,16384,12352
337720,16384,12762
290704,16384,11181
290008,16384,11128
174780,8192,7290
130548,8192,5427
287980,16384,10999
337040,16384,12687
79732,4096,3672
174212,8192,7264
281492,16384,10725
341720,16384,12918
151128,8192,6161
245180,16384,9230
79800,4096,3683
176540,8192,7394
333084,16384,12470
148056,8192,6061
177216,8192,7444
343848,16384,13113
168564,8192,6999
380808,16384,14486
176444,8192,7370
236964,16384,8845
177368,8192,7477
333312,16384,12528
60380,4096,2802
127492,8192,5292
80620,4096,3753
148004,8192,6031
133140,8192,5631
157104,8192,6547
312752,16384,11569
345136,16384,13148
150476,8192,6095
268268,16384,10122
314132,16384,11678
364736,16384,13775
176364,8192,7387
382444,16384,14587
147448,8192,6009
383092,16384,14652
324240,16384,12148
156780,8192,6486
285856,16384,10858
286704,16384,10986
321784,16384,12032
142280,8192,5934
289836,16384,11148
175328,8192,7314
55468,4096,2503
166580,8192,6888
288060,16384,11028
89488,4096,4194
320952,16384,11950
81200,4096,3792
274864,16384,10490
287736,16384,10963
132292,8192,5549
69708,4096,3155
380380,16384,14452
16900,1024,1008
