episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
2000,3.4,10325.4,36572,388061,39.0000,1.6000,0.0000,0.0000,0.0000,0.0000,925.90,58.63,0,0,0
4000,7.7,14919.5,50788,407376,68.6500,9.0000,0.0500,0.0000,0.0000,0.0000,1950.16,79.43,0,0,0
6000,12.4,17680.2,62304,417713,81.2000,19.2500,0.1000,0.0000,0.0000,0.0000,2724.81,90.73,0,0,0
8000,17.7,19731.1,61228,419652,85.3500,29.2500,0.2500,0.0000,0.0000,0.0000,3400.86,98.72,0,0,0
10000,23.1,21435.1,63040,425841,89.3000,36.3000,0.4500,0.0000,0.0000,0.0000,3999.88,104.98,0,0,0
12000,28.9,22691.3,65204,428367,90.7000,41.4000,0.9000,0.0000,0.0000,0.0000,4591.80,109.30,0,0,0
14000,34.8,23838.3,66476,430238,92.8000,46.8000,1.0000,0.0000,0.0000,0.0000,5131.28,113.55,0,0,0
16000,40.9,25288.8,64276,433487,93.7500,53.2500,1.2500,0.0000,0.0000,0.0000,5587.45,117.87,0,0,0
18000,47.3,26596.0,78652,436191,95.4000,57.5000,1.4500,0.0000,0.0000,0.0000,6046.07,120.64,0,0,0
20000,53.9,26995.1,80292,436795,95.1500,59.1000,1.7000,0.0000,0.0000,0.0000,6521.11,122.51,0,0,0
22000,60.5,27668.6,72472,438167,95.3500,60.6500,3.0000,0.0000,0.0000,0.0000,6955.34,126.13,0,0,0
24000,67.2,28662.5,76272,439823,95.8500,65.2500,3.4000,0.0000,0.0000,0.0000,7356.42,128.40,0,0,0
26000,74.2,29620.4,72732,441116,97.2500,68.3000,3.5500,0.0000,0.0000,0.0000,7770.02,131.07,0,0,0
28000,81.2,30401.7,80512,442369,97.0500,68.3000,5.2000,0.0000,0.0000,0.0000,8125.02,134.62,0,0,0
30000,88.7,32113.5,81192,442883,98.3000,72.2000,7.9500,0.0000,0.0000,0.0000,8469.87,137.40,0,0,0
32000,96.3,32832.9,80944,443485,97.9500,75.0000,8.4500,0.0000,0.0000,0.0000,8827.32,140.26,0,0,0
34000,104.3,33890.9,84396,443525,98.4000,76.5500,8.9000,0.0000,0.0000,0.0000,9179.91,141.80,0,0,0
36000,112.2,34373.5,93368,443966,98.5000,76.3500,9.5000,0.0000,0.0000,0.0000,9561.20,144.12,0,0,0
38000,120.4,34935.2,95704,444024,98.3500,78.3000,11.5500,0.0000,0.0000,0.0000,9965.93,145.65,0,0,0
40000,128.9,35976.3,84380,443344,98.5000,77.7500,13.8000,0.0000,0.0000,0.0000,10277.91,148.64,0,0,0
42000,137.8,36935.1,91632,442289,99.1000,78.1500,15.6000,0.0000,0.0000,0.0000,10619.40,150.30,0,0,0
44000,146.6,37422.6,89508,441761,98.9500,79.1000,15.5000,0.0000,0.0000,0.0000,10964.75,152.38,0,0,0
46000,155.4,38466.6,109552,442037,98.9500,80.9500,17.2000,0.0500,0.0000,0.0000,11276.97,154.68,0,0,0
48000,164.3,38936.1,133680,442202,98.5000,80.0500,19.1000,0.1500,0.0000,0.0000,11595.87,156.51,0,0,0
50000,173.4,39692.6,111656,442164,98.9000,81.1000,22.0000,0.0500,0.0000,0.0000,11916.32,158.30,0,0,0
52000,182.8,40525.2,125212,441808,98.9500,81.8500,23.4000,0.1500,0.0000,0.0000,12207.70,159.68,0,0,0
54000,192.2,41287.5,117684,441833,99.0500,81.7500,25.2500,0.0500,0.0000,0.0000,12540.75,161.22,0,0,0
56000,202.0,42709.5,120724,441653,99.2500,84.0500,27.7000,0.0500,0.0000,0.0000,12809.79,163.12,0,0,0
58000,212.0,42838.6,124056,441042,98.9500,82.6500,29.3500,0.1500,0.0000,0.0000,13170.88,163.95,0,0,0
60000,222.1,43226.8,121496,440486,98.8500,82.7500,30.0500,0.1000,0.0000,0.0000,13436.50,166.27,0,0,0
62000,232.2,44124.4,134404,440182,99.0000,83.9500,31.8000,0.3500,0.0000,0.0000,13737.24,167.53,0,0,0
64000,242.0,44318.4,129252,440575,99.0500,82.8500,31.7000,0.4500,0.0000,0.0000,14042.15,168.71,0,0,0
66000,252.2,46061.3,127824,440831,98.8500,84.9000,36.4000,0.2000,0.0000,0.0000,14248.69,170.83,0,0,0
68000,262.5,46584.4,126468,440965,99.4000,84.6500,37.1500,0.4500,0.0000,0.0000,14511.19,172.81,0,0,0
70000,273.2,47769.5,140744,440983,99.3500,86.4000,38.5500,0.4500,0.0000,0.0000,14813.77,173.71,0,0,0
72000,283.4,47395.5,126528,441456,99.2000,84.4000,38.3000,0.7000,0.0000,0.0000,15153.95,174.64,0,0,0
74000,293.7,47852.3,155172,441974,99.2500,84.8500,39.4000,0.6500,0.0000,0.0000,15436.46,176.70,0,0,0
76000,304.2,49500.1,149084,442641,99.5000,86.7000,42.1500,1.0500,0.0000,0.0000,15719.59,178.41,0,0,0
78000,315.2,50654.0,135044,442932,99.3500,86.4000,43.9000,0.9000,0.0000,0.0000,15968.71,179.86,0,0,0
80000,326.1,50356.0,154176,443085,99.4000,87.0000,42.6000,1.0500,0.0000,0.0000,16321.27,180.29,0,0,0
82000,337.4,50870.6,152288,443025,99.2000,87.7500,42.6500,1.4000,0.0000,0.0000,16639.89,181.20,0,0,0
84000,348.5,52002.5,144604,443394,99.3500,88.2000,46.1000,1.1000,0.0000,0.0000,16899.59,182.98,0,0,0
86000,359.9,52936.9,153000,443552,99.4000,89.1000,46.1500,1.2500,0.0000,0.0000,17252.00,182.85,0,0,0
88000,371.6,53254.5,164260,443450,99.5000,88.6000,46.4500,1.8000,0.0000,0.0000,17546.28,183.59,0,0,0
90000,383.1,53470.8,153172,443622,99.1500,89.7000,47.1000,1.7500,0.0000,0.0000,17811.78,186.19,0,0,0
