timestamp,source,games,mean,median,p05,p95,max,mean_moves,r2048,r4096,r8192,r16384,r32768,kept
2026-08-07T09:11:12+00:00,runs/r10_fresh.bin,600,90736,89448,32868,162640,214756,4068,97.00,80.50,26.67,0.17,0.00,1
2026-08-07T14:39:08+00:00,runs/r10_fresh.bin,600,181402,168212,45136,343388,387260,7294,98.67,93.83,71.50,34.00,0.00,1
2026-08-07T15:10:05+00:00,runs/r10_fresh.bin,600,196643,176616,59688,357948,387012,7832,99.33,96.17,76.50,40.33,0.00,1
2026-08-07T15:40:54+00:00,runs/r10_fresh.bin,600,186169,168276,44476,365388,387072,7473,99.00,93.83,70.67,34.67,0.00,0
2026-08-07T16:12:04+00:00,runs/r10_fresh.bin,600,197661,176608,45212,363472,385172,7856,98.83,94.17,76.00,41.33,0.00,1
2026-08-07T16:38:11+00:00,runs/r10_fresh.bin,600,200939,176908,44492,366548,387212,7968,98.50,93.83,74.33,43.83,0.00,1
2026-08-07T17:09:09+00:00,runs/r10_fresh.bin,600,208015,177208,58156,367104,386916,8232,99.00,95.33,75.33,45.67,0.00,1
2026-08-07T17:40:16+00:00,runs/r10_fresh.bin,600,211826,178228,45212,376480,387244,8359,98.83,94.17,75.83,47.83,0.00,1
2026-08-07T18:11:32+00:00,runs/r10_fresh.bin,600,214904,177384,54700,376116,408760,8482,99.17,95.67,79.67,47.17,0.00,1
2026-08-07T18:37:30+00:00,runs/r10_fresh.bin,600,216489,177440,60408,381112,386992,8546,98.67,95.83,78.50,47.17,0.00,1
2026-08-07T19:08:27+00:00,runs/r10_fresh.bin,600,212176,177340,43772,378196,386400,8378,98.50,94.00,76.67,46.50,0.00,0
2026-08-07T19:39:29+00:00,runs/r10_fresh.bin,600,221704,227868,60320,377284,386820,8718,99.17,95.83,79.17,51.17,0.00,1
2026-08-07T20:10:26+00:00,runs/r10_fresh.bin,600,221308,192300,60404,377932,385564,8704,99.17,95.83,77.50,49.17,0.00,0
