episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
2000,87.1,270613.6,530956,239309,99.6000,99.0000,97.6000,93.4500,70.2000,0.1000,216125.88,400.68,0,0,0
4000,174.3,271368.3,516192,239529,100.0000,99.6500,97.9000,93.9000,69.5000,0.1000,216104.04,398.97,0,0,0
6000,260.4,271194.3,559348,240409,99.8000,99.3000,97.8500,93.7000,71.0000,0.0500,216180.79,398.01,0,0,0
8000,343.8,266337.1,514068,241883,99.8500,99.2500,97.3000,93.1000,67.7500,0.0500,216860.14,396.83,0,0,0
10000,427.3,268466.7,511148,243003,99.8500,99.4500,97.3500,92.5000,69.3000,0.1500,216389.06,398.97,0,0,0
12000,511.9,267947.8,524480,243155,99.6500,99.3000,97.1500,92.1000,68.6000,0.0500,215979.62,397.32,0,0,0
14000,596.9,270820.8,434504,243477,99.8000,99.2500,97.4500,92.8000,69.8500,0.0000,215899.23,400.14,0,0,0
16000,682.2,268289.9,387156,243346,99.8500,99.2000,97.0500,92.8000,69.0500,0.0000,216445.89,397.15,0,0,0
18000,767.5,270975.2,386852,243448,99.6000,99.0000,97.1500,92.9000,70.6000,0.0000,215699.92,401.34,0,0,0
20000,852.8,268228.1,387212,243345,99.6500,99.1500,97.2500,92.7500,69.3000,0.0000,216389.37,399.31,0,0,0
22000,938.7,271276.8,531664,243305,99.9000,99.3000,97.3000,92.6500,70.9000,0.0500,216261.23,395.84,0,0,0
24000,1024.4,271062.3,533008,243337,99.7000,99.1000,97.7000,93.0500,70.3500,0.1500,216204.93,398.37,0,0,0
26000,1109.2,269218.6,484444,243425,99.8500,99.2500,97.5000,92.4000,69.7000,0.0500,216014.27,402.38,0,0,0
28000,1195.3,273309.8,560768,243495,99.8500,99.1000,97.9000,94.0000,70.4000,0.1500,215889.45,398.78,0,0,0
30000,1280.7,268954.2,387444,243425,99.6500,99.1500,97.3000,91.9000,69.6500,0.0000,216317.99,399.88,0,0,0
32000,1364.5,266746.7,554700,243560,99.9500,99.2500,98.0000,92.7500,67.5500,0.0500,216509.58,400.35,0,0,0
34000,1449.4,270478.7,488976,243667,99.8000,99.1500,97.6000,93.3500,69.3000,0.0500,216392.78,397.32,0,0,0
36000,1534.3,270661.0,512220,243765,99.8500,99.3000,97.6000,92.3000,69.9000,0.0500,215980.75,401.65,0,0,0
38000,1620.3,271220.9,560656,243720,99.8500,99.4000,97.1000,92.3500,71.1500,0.0500,216533.28,393.93,0,0,0
40000,1705.7,269322.3,481304,243680,99.9000,99.5000,97.8500,93.6500,68.9000,0.1000,216438.02,399.52,0,0,0
42000,1790.6,265241.2,387260,243550,99.8000,99.0500,96.8500,92.2500,67.8500,0.0000,216832.06,400.11,0,0,0
44000,1877.1,271524.9,527140,243461,99.9000,99.6500,97.8500,93.6000,70.5000,0.0500,216421.06,399.83,0,0,0
46000,1963.3,271956.4,503736,243432,99.9000,99.4500,97.4500,93.4000,71.0000,0.1000,216179.61,402.06,0,0,0
48000,2049.2,272578.1,387248,243457,99.9500,99.6000,98.1500,93.7500,70.9500,0.0000,216476.39,397.41,0,0,0
50000,2133.5,269996.8,582960,243584,99.8500,99.1500,97.6500,92.8000,70.5000,0.1000,216588.04,401.07,0,0,0
52000,2219.1,270863.4,525084,243583,99.8500,99.5000,97.5500,93.8500,70.3500,0.0500,216493.93,399.72,0,0,0
54000,2303.0,267011.6,522288,243650,99.8500,99.3000,97.2000,92.3500,68.6500,0.1000,216840.30,399.18,0,0,0
56000,2388.0,270012.7,529404,243688,99.9000,99.5000,97.7000,93.0500,68.9000,0.1000,216377.84,401.08,0,0,0
58000,2474.0,272027.7,563768,243681,99.9000,99.6500,97.9500,92.9000,70.5000,0.0500,216526.09,397.97,0,0,0
60000,2560.1,272074.9,502756,243663,99.7500,99.4500,97.7000,94.2500,70.5000,0.0500,216664.47,398.29,0,0,0
62000,2646.0,270095.8,530180,243616,99.9000,99.5500,97.6000,93.1000,69.5500,0.1000,216646.69,397.74,0,0,0
64000,2732.9,271205.6,512692,243510,99.8500,99.4500,98.1000,93.9500,70.5000,0.1000,216833.87,397.23,0,0,0
