timestamp,source,games,mean,median,p05,p95,max,mean_moves,r2048,r4096,r8192,r16384,r32768,kept
2026-08-07T21:37:48+00:00,runs/r11_wide24.bin,600,275154,314140,93048,375600,386188,10583,99.33,97.67,94.83,71.17,0.00,1
2026-08-07T22:04:40+00:00,runs/r11_wide24.bin,600,276286,311804,114548,379680,391764,10630,99.67,98.67,95.50,71.67,0.00,1
2026-08-07T22:36:33+00:00,runs/r11_wide24.bin,600,274255,313904,82368,378140,481700,10554,99.83,98.67,94.50,70.33,0.17,0
2026-08-07T23:03:30+00:00,runs/r11_wide24.bin,600,278054,317720,84032,377516,386192,10681,99.83,98.67,94.33,72.83,0.00,1
2026-08-07T23:35:29+00:00,runs/r11_wide24.bin,600,281029,322780,80780,380932,537216,10791,99.33,98.17,93.83,73.67,0.33,1
2026-08-08T00:07:22+00:00,runs/r11_wide24.bin,600,275677,304900,80396,377488,509476,10593,99.33,97.83,93.33,72.83,0.33,0
2026-08-08T00:34:12+00:00,runs/r11_wide24.bin,600,279493,314016,109888,380880,489660,10723,99.67,98.50,95.33,74.33,0.17,0
2026-08-08T01:06:13+00:00,runs/r11_wide24.bin,600,283149,322728,109796,380724,563456,10871,99.83,98.17,95.50,74.17,0.33,1
2026-08-08T01:38:07+00:00,runs/r11_wide24.bin,600,277823,322272,89232,377696,386656,10682,99.33,98.00,94.83,72.50,0.00,0
2026-08-08T02:04:59+00:00,runs/r11_wide24.bin,600,282805,328140,80088,380716,489852,10845,99.33,97.83,94.00,75.50,0.17,0
2026-08-08T02:36:58+00:00,runs/r11_wide24.bin,600,282604,322616,81640,377124,387084,10870,99.83,98.50,94.33,72.83,0.00,0
2026-08-08T03:03:55+00:00,runs/r11_wide24.bin,600,288551,331576,109816,381520,387252,11065,99.67,97.33,95.17,77.00,0.00,1
2026-08-08T03:35:51+00:00,runs/r11_wide24.bin,600,280160,320908,85520,380812,533228,10776,99.67,97.67,94.83,73.33,0.17,0
2026-08-08T04:07:51+00:00,runs/r11_wide24.bin,600,283945,326848,107452,381272,387224,10911,99.67,98.00,95.17,73.67,0.00,0
2026-08-08T04:34:40+00:00,runs/r11_wide24.bin,600,278814,326784,80164,380824,470956,10732,99.17,98.00,93.00,71.50,0.17,0
2026-08-08T05:06:35+00:00,runs/r11_wide24.bin,600,284579,327048,109720,380900,532824,10922,99.50,98.67,95.17,74.00,0.17,0
2026-08-08T05:34:00+00:00,runs/r11_wide24.bin,600,281113,322884,80104,380608,385456,10802,99.67,98.33,93.33,73.67,0.00,0
2026-08-08T06:06:18+00:00,runs/r11_wide24.bin,600,284762,322452,88800,381548,569772,10932,99.67,97.83,94.33,75.17,0.33,0
2026-08-08T06:38:45+00:00,runs/r11_wide24.bin,600,277293,318924,80308,378168,524176,10662,98.67,97.00,93.83,72.17,0.17,0
2026-08-08T07:06:21+00:00,runs/r11_wide24.bin,600,286948,330164,112908,381204,465304,11015,99.33,98.67,95.50,75.00,0.17,0
2026-08-08T07:38:46+00:00,runs/r11_wide24.bin,600,278736,321424,80628,380784,386520,10709,99.17,97.67,94.33,72.50,0.00,0
2026-08-08T08:05:56+00:00,runs/r11_wide24.bin,600,286547,325272,120500,379396,386824,11009,99.83,98.83,96.00,75.00,0.00,0
2026-08-08T08:38:29+00:00,runs/r11_wide24.bin,600,282586,326984,80544,378032,528964,10856,99.67,98.33,94.00,73.33,0.17,0
2026-08-08T09:05:59+00:00,runs/r11_wide24.bin,600,283060,322968,89588,380364,387100,10881,99.83,99.00,94.83,74.17,0.00,0
