episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
2000,196.3,284498.8,532904,111256,99.9000,99.5000,98.0500,94.2000,74.5500,0.1000,222921.03,375.55,0,0,0
4000,388.9,283684.8,566684,112199,99.9500,99.7000,98.2500,95.1000,74.4000,0.0500,223335.03,372.92,0,0,0
6000,576.3,282628.1,520364,113367,99.6000,99.1500,97.9000,94.5500,74.2000,0.1000,223224.41,371.57,0,0,0
8000,763.6,286373.6,387160,114346,99.9000,99.4000,98.0500,94.1000,75.9500,0.0000,222774.36,371.22,0,0,0
10000,948.1,280850.0,534736,114852,99.7500,98.9500,97.4000,93.5500,73.5000,0.1000,223245.47,371.78,0,0,0
12000,1138.8,287806.1,566360,115004,100.0000,99.6000,98.6000,95.2500,75.6500,0.3000,222674.82,373.13,0,0,0
14000,1332.9,288646.3,565024,114861,99.9500,99.6500,98.0000,94.9500,76.2500,0.2500,222645.38,371.47,0,0,0
16000,1521.8,284102.5,526656,114947,99.7000,99.2500,98.3500,94.7500,74.8000,0.1000,223363.35,370.68,0,0,0
18000,1708.7,283642.3,528236,115115,99.9000,99.4500,97.8500,94.2000,74.6500,0.0500,222968.29,370.64,0,0,0
20000,1899.6,287542.0,534040,115155,99.8500,99.3500,98.1500,95.3500,75.9500,0.1500,222897.80,369.28,0,0,0
22000,2086.0,285457.0,535208,115369,99.8500,99.4500,98.0000,94.7000,75.1000,0.3000,223110.19,369.81,0,0,0
24000,2280.5,286086.3,508516,115162,100.0000,99.4000,98.0000,94.9500,75.6000,0.1500,223204.97,367.72,0,0,0
26000,2474.1,282489.6,531264,114924,99.8000,99.1000,97.8500,94.2000,73.8500,0.1500,223226.67,371.06,0,0,0
28000,2670.1,287612.4,531748,114753,99.8000,99.6500,98.1500,94.3500,76.2500,0.2000,222759.46,372.39,0,0,0
30000,2866.2,288157.6,532320,114609,99.9500,99.6000,98.2500,94.9500,76.3500,0.2000,223137.72,369.02,0,0,0
