episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
2000,38.0,234711.3,488624,482885,99.6000,98.8000,96.0500,88.4000,54.0500,0.0500,175728.60,398.58
4000,75.9,236092.4,387328,484813,99.7000,98.7500,96.1000,90.0500,54.1500,0.0000,175883.26,396.51
6000,113.3,234361.8,411468,485971,99.6000,98.6500,96.1000,88.8500,54.2000,0.0000,176049.93,396.50
8000,149.1,234227.3,488468,492108,99.6500,98.9000,95.7500,88.4500,54.0500,0.0500,176173.98,393.46
10000,185.7,230627.0,386300,492413,99.4000,98.5000,95.6500,88.3500,52.1000,0.0000,176598.38,392.43
12000,223.3,236553.5,488632,492090,99.6000,98.7500,96.6500,88.4500,54.7000,0.0500,175895.58,397.14
14000,260.0,230617.3,387840,491997,99.8500,98.6500,95.8500,87.2000,51.5500,0.0000,176140.57,399.39
16000,298.1,234516.3,387560,490660,99.8000,99.0500,96.9500,88.6000,54.0000,0.0000,176403.97,394.87
18000,336.1,233646.4,409576,489507,99.6500,99.0000,96.5500,88.9000,52.7500,0.0000,176365.42,397.31
20000,374.4,236878.1,461000,488943,99.7500,98.9000,96.0000,88.2500,55.2000,0.0500,176024.15,397.27
22000,419.3,239146.4,387380,481020,99.9000,98.7500,96.3000,89.1500,56.1000,0.0000,175831.54,397.60
24000,459.0,239532.7,566400,480115,99.6500,99.3000,97.0500,89.8000,55.7500,0.2000,176017.11,397.43
26000,496.2,233955.6,467784,480917,99.3500,98.6500,96.4000,88.4500,53.5000,0.0500,176834.62,396.02
28000,533.9,234124.6,486676,481272,99.6500,99.1000,95.9000,88.4000,53.5500,0.0500,176460.97,396.26
30000,572.3,237366.6,407784,481272,99.6000,98.8500,96.4000,89.5000,55.4000,0.0000,176451.36,396.69
32000,610.6,235718.0,386784,481211,99.5500,98.6000,96.2500,88.8500,55.3000,0.0000,176639.53,392.84
34000,650.6,232124.8,529844,479598,99.8000,99.0500,96.3500,88.1500,51.8500,0.0500,176414.99,402.74
36000,689.8,232539.3,454820,478669,99.7000,98.9500,96.4500,88.7000,51.8000,0.0000,176652.62,400.26
38000,728.8,234940.1,387280,478289,99.7000,98.9500,96.3500,88.7000,53.2500,0.0000,176361.43,399.23
40000,767.7,235195.6,569496,477991,99.9500,99.1500,96.7000,88.3000,54.1500,0.1000,176669.53,397.52
42000,805.8,234192.7,508792,478072,99.7500,98.8500,95.6000,88.0500,53.2500,0.0500,176555.13,398.37
44000,844.1,232603.6,387280,477917,99.5500,98.2500,95.2500,88.2500,53.1500,0.0000,177059.17,396.87
46000,882.9,237242.8,563520,477922,99.7500,99.2000,96.2000,89.1500,54.4500,0.0500,176437.87,398.68
48000,923.0,231690.6,452212,476801,99.7000,98.6500,95.6000,88.2500,52.7000,0.0000,177211.56,398.16
50000,960.5,234833.2,410036,477287,99.6000,98.6500,96.4000,88.6000,54.1000,0.0000,176933.68,401.41
52000,998.1,235668.0,533456,477721,99.8500,98.8500,95.5500,88.1000,54.2000,0.1500,176627.48,399.56
54000,1036.2,239768.4,387236,478192,99.8000,98.9500,96.7500,89.8500,56.1500,0.0000,176889.97,393.32
56000,1074.3,237468.2,387364,478487,99.7000,99.1000,96.6000,88.8000,54.4500,0.0000,176663.34,397.03
58000,1112.8,234734.0,529356,478433,99.7000,98.8500,96.0000,87.6500,53.9000,0.0500,176945.92,397.49
60000,1150.1,235518.3,410524,478895,99.7000,99.2000,96.8000,89.0000,53.4500,0.0000,177267.52,394.78
62000,1187.3,233329.2,485480,479258,99.8000,99.1500,96.3000,88.4500,52.4500,0.1000,177584.42,395.78
64000,1224.8,233332.4,387376,479488,99.6500,98.8500,95.9500,88.0000,53.0000,0.0000,177171.81,397.20
66000,1262.2,232028.3,518064,479667,99.5500,98.7000,96.1500,88.1500,52.6000,0.1000,177653.88,397.13
68000,1300.2,237786.0,511560,479911,99.8000,99.2000,96.2000,88.2500,55.3500,0.0500,176902.47,395.83
70000,1337.5,233824.2,512952,480178,99.6500,98.7500,96.1000,88.8000,53.2000,0.0500,177287.33,400.19
72000,1375.2,235600.3,388384,480408,99.7000,98.9000,96.7000,88.6000,53.7500,0.0000,177282.16,399.09
74000,1412.7,235434.0,387192,480685,99.7000,99.2000,96.4500,88.6500,53.7000,0.0000,177418.82,394.14
76000,1449.6,232227.8,387400,480974,99.7500,99.1000,96.1000,88.2500,53.4000,0.0000,177634.67,395.71
78000,1487.2,236474.0,387060,481241,99.8000,98.7500,96.2000,88.9000,54.6000,0.0000,177301.70,398.90
80000,1524.8,234868.1,528712,481380,99.6500,98.4500,95.4500,88.5000,54.2500,0.0500,177300.94,399.42
82000,1562.6,237838.6,387128,481616,99.8500,98.6500,96.3000,88.8000,55.3500,0.0000,177361.93,394.93
84000,1600.7,236915.4,387992,481695,99.7000,98.8000,96.5000,90.0000,54.6000,0.0000,177741.52,393.98
86000,1638.7,236147.1,469032,481796,99.5500,98.9000,96.8000,89.2500,54.4000,0.1000,177643.00,399.91
88000,1675.5,237069.9,488660,482267,99.6500,99.0500,96.9000,89.1000,54.2500,0.0500,177541.19,396.86
90000,1712.6,233561.0,534848,482453,99.7500,98.9000,95.6500,88.4000,52.9500,0.0500,177833.57,398.43
92000,1750.1,235941.4,418580,482643,99.9000,98.9500,96.5000,88.5000,54.2000,0.0000,177623.87,398.86
94000,1787.8,235365.1,570888,482771,99.7500,99.0500,96.1500,87.7000,54.4000,0.0500,177788.30,395.34
96000,1825.3,234245.7,479068,482859,99.7500,99.0000,96.6500,88.9500,53.6500,0.0500,177947.79,398.68
98000,1863.7,239341.8,503180,482932,99.7000,98.8000,96.4000,88.7500,56.7500,0.0500,177520.14,397.76
100000,1901.5,236656.7,492588,483052,99.8000,99.1000,96.5000,89.1500,53.8500,0.0500,177946.76,394.55
102000,1939.3,235799.0,419796,483144,99.7500,98.8000,96.6500,89.1000,53.6500,0.0000,177779.33,397.39
104000,1976.4,233277.3,386616,483293,99.4500,98.6500,95.4500,87.1000,53.9000,0.0000,177794.90,400.16
106000,2014.5,236466.4,387372,483308,99.5000,98.8500,96.0500,89.2500,54.2000,0.0000,177938.29,395.53
108000,2052.9,240061.5,406728,483414,99.7000,98.7000,96.6500,89.4500,55.2500,0.0000,177352.81,402.14
110000,2091.4,238065.2,386464,483380,99.9000,99.1000,96.7000,88.0000,56.2000,0.0000,177899.39,397.81
112000,2128.0,233293.5,499936,483636,99.7500,98.9000,96.2500,87.7000,53.3500,0.0500,178205.64,398.65
114000,2165.6,239736.7,489160,483861,99.5500,98.6000,96.3000,89.3500,55.2000,0.0500,177608.26,397.96
116000,2203.1,234335.2,509332,483936,99.6500,98.5500,96.3000,88.8500,53.9500,0.1000,178464.54,399.75
118000,2240.1,234313.8,470044,484116,99.5000,98.4000,95.6000,87.6500,54.3000,0.0500,178081.30,400.32
120000,2277.8,237808.6,411548,484249,99.6000,98.8000,95.6500,88.4500,54.9500,0.0000,177853.28,398.28
122000,2315.2,234812.8,539184,484348,99.7500,99.2500,96.5500,89.1000,53.6000,0.0500,178853.31,395.76
124000,2353.3,238149.6,387232,484413,99.5500,99.0000,97.3500,89.2000,54.2000,0.0000,178127.37,399.11
126000,2391.3,240123.4,523272,484542,99.9000,98.9000,96.4000,89.3000,56.5000,0.0500,178255.29,397.30
128000,2428.1,231505.4,387256,484674,99.6000,98.9000,96.3000,87.7000,51.8000,0.0000,178605.45,397.88
130000,2465.4,233522.3,485336,484723,99.5000,98.3500,95.7000,88.3500,53.3500,0.0500,178826.41,400.29
132000,2501.6,233810.4,446252,485023,99.7000,98.8500,96.6500,87.1500,52.5000,0.0000,178366.96,397.76
134000,2537.4,233432.9,521092,485369,99.7500,98.9500,96.0500,86.6500,53.5000,0.0500,178532.18,398.25
136000,2573.5,234569.9,387056,485693,99.8500,98.5000,95.6000,88.6000,54.0500,0.0000,178653.39,401.44
138000,2609.4,235096.4,387396,486050,99.7000,98.8000,96.1500,88.2000,53.7500,0.0000,178626.76,401.43
