episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
2000,38.6,237651.0,405376,479782,99.7000,98.8500,96.5000,88.9500,55.5000,0.0000,175827.68,390.21
4000,76.1,231119.7,509028,481543,99.7000,99.3000,96.6500,89.0000,51.6000,0.0500,176200.76,397.27
6000,113.6,237055.7,507168,485442,99.6500,98.5000,96.0000,87.6000,55.1000,0.0500,175585.86,394.38
8000,151.6,235471.3,480028,484902,99.8000,98.6500,96.5000,88.1500,54.4000,0.1000,175924.92,395.47
10000,189.7,237940.8,525348,485452,99.8000,98.8000,96.4500,89.6500,55.3000,0.1000,175800.96,394.52
12000,227.3,235757.7,387300,486043,99.7000,99.1500,96.5500,88.3000,54.1000,0.0000,175642.73,397.68
14000,265.3,234884.3,479436,485530,99.3000,98.7500,95.7500,88.0500,53.4500,0.1500,175825.35,396.47
16000,302.8,232155.8,505568,485369,99.7000,98.9000,96.0500,88.1500,52.2000,0.1000,176260.92,395.75
18000,340.5,231535.6,387040,484926,99.7000,98.8000,96.3000,87.6000,52.3000,0.0000,176159.33,396.45
20000,378.1,231759.7,389748,484634,99.8500,98.9000,96.0500,88.6000,52.6500,0.0000,176317.36,395.75
22000,421.9,233038.3,386668,477500,99.7000,99.0000,96.2000,88.4500,53.5500,0.0000,175860.06,400.53
24000,461.0,234585.8,387784,476823,99.9000,99.3500,96.9500,88.7500,52.8500,0.0000,176114.15,393.97
26000,498.9,238658.6,481100,477875,99.6500,99.0500,97.1000,89.7000,54.6000,0.0500,175696.05,395.88
28000,536.6,233419.8,430640,478326,99.7500,98.8500,96.5500,89.1500,52.4000,0.0000,176343.24,392.53
30000,574.2,234526.2,420188,478921,99.4500,98.6000,96.1000,87.9000,54.2000,0.0000,176027.34,396.59
32000,612.0,234896.1,488180,479333,99.6500,99.1000,96.2500,89.2000,54.2500,0.0500,176380.32,393.76
34000,651.7,233667.1,504252,478154,99.6500,98.8500,96.3000,88.0500,53.0000,0.0500,176065.89,397.16
36000,691.1,235294.5,551684,477484,99.7000,99.2500,96.3000,88.6500,53.6000,0.1500,176107.10,397.02
38000,730.0,235294.6,387452,477193,99.7000,98.4500,94.7500,87.2000,55.0000,0.0000,175910.46,395.53
40000,768.9,233862.7,425940,476855,99.7500,98.8500,95.9000,87.9000,53.3500,0.0000,176268.02,394.77
42000,806.8,232500.1,387332,476974,99.7000,98.9500,96.2500,88.1500,52.6000,0.0000,176587.84,395.50
44000,845.2,235683.7,489600,477093,99.6500,98.9000,95.8000,87.8000,54.2500,0.0500,176285.60,392.54
46000,883.9,237468.1,563176,477167,99.4500,98.6500,96.5000,88.9000,55.9000,0.0500,176084.40,397.73
48000,923.9,234314.7,456496,476320,99.5500,98.9500,96.4000,87.7500,53.5500,0.0500,176081.00,397.40
50000,961.3,232437.5,387352,476715,99.8000,98.9500,96.6000,88.0500,52.6000,0.0000,176499.72,395.35
52000,998.5,233800.4,387360,477234,99.7000,99.0000,96.1500,89.2500,53.2500,0.0000,176419.01,397.35
54000,1035.7,235227.5,387120,477854,99.7000,98.8000,95.8000,88.7500,54.2000,0.0000,176258.52,397.24
56000,1073.0,233216.9,489144,478232,99.7000,99.0500,95.9000,88.2500,52.9500,0.1000,176457.92,398.33
58000,1111.8,235652.3,386876,478084,99.7500,99.0500,96.6000,89.3000,54.0000,0.0000,176568.74,394.87
60000,1149.0,234172.9,387164,478555,99.7000,98.8500,96.0000,89.5000,52.9000,0.0000,176489.59,396.92
62000,1186.0,234822.6,485404,479083,99.8000,99.0500,96.5000,89.8000,53.1000,0.0500,176468.98,398.44
64000,1224.3,236195.6,426732,479173,99.8500,98.9500,96.4500,89.4500,54.1000,0.0000,176376.70,395.75
66000,1262.2,236249.3,386280,479412,99.7500,98.5500,95.9500,88.2000,55.0500,0.0000,176282.38,396.60
68000,1300.1,236588.3,506036,479645,99.8000,99.2000,96.9500,89.7500,53.2500,0.0500,176368.37,396.92
70000,1337.7,235757.9,387460,479914,99.7000,98.5000,95.9000,89.5000,54.4500,0.0000,176359.78,396.86
72000,1374.7,233334.9,386400,480261,99.6000,98.7000,96.1500,87.6000,52.6500,0.0000,176493.21,395.48
74000,1412.1,233577.2,533076,480500,99.3500,98.5500,95.8500,87.8000,52.5000,0.0500,176126.14,401.23
76000,1449.0,235475.9,444900,480933,99.6000,98.6500,96.6000,89.3000,53.7500,0.0000,176293.72,401.05
78000,1486.8,233352.3,386504,480996,99.9000,98.8000,95.9500,88.2500,53.1500,0.0000,176586.16,395.90
80000,1524.9,236964.7,387044,481101,99.5500,98.8500,96.4000,89.3000,53.9000,0.0000,176529.99,396.38
82000,1562.1,234279.2,386496,481366,99.6000,98.8500,96.1000,88.3500,53.7500,0.0000,176753.39,393.11
84000,1600.3,240158.2,531088,481579,99.8500,99.1500,96.8500,89.2500,56.1500,0.1000,176423.22,392.96
86000,1638.2,238239.5,388712,481766,99.5000,98.7000,96.6000,89.9500,54.9000,0.0000,176470.70,396.68
88000,1675.8,236486.1,485148,481998,99.8000,98.9500,96.2000,88.9000,53.8500,0.0500,176525.53,397.49
90000,1713.9,237761.7,516716,482105,99.8000,99.1500,96.1000,88.5000,55.8500,0.1000,176276.86,398.23
92000,1750.6,232932.9,386832,482385,99.6000,98.6000,96.0000,87.9000,53.7500,0.0000,177046.76,396.02
94000,1788.0,235772.5,387560,482591,99.5000,98.6500,96.1500,88.9500,54.0500,0.0000,176490.30,397.68
96000,1825.3,234666.0,513136,482784,99.8000,99.1500,96.1500,88.6000,53.7000,0.0500,176947.11,397.58
98000,1864.6,239444.6,513796,482626,99.8000,99.3000,96.4500,89.4500,55.4000,0.1000,176431.62,395.92
100000,1902.3,235282.3,386984,482719,99.6500,98.8500,96.9500,89.5000,52.8000,0.0000,176881.54,396.24
102000,1940.1,236844.4,387536,482857,99.5500,98.7000,96.1000,89.6500,54.5000,0.0000,176845.00,393.31
104000,1977.4,231317.3,557584,482879,99.7000,98.5500,95.9500,88.9500,51.7000,0.1500,177200.50,395.81
106000,2014.1,230556.6,480080,483039,99.5000,98.4000,95.9000,88.2000,51.8000,0.0500,177319.20,395.40
108000,2052.2,236837.9,468528,483102,99.6000,98.9500,96.3500,89.2000,54.2500,0.0500,176806.72,395.61
110000,2089.8,234549.8,462504,483174,99.9000,99.1500,96.4000,88.9000,53.0500,0.0500,176766.10,398.80
112000,2127.1,233558.8,561276,483289,99.6500,98.8500,95.9500,88.6000,53.2000,0.0500,177016.30,401.83
114000,2164.8,237312.5,387064,483439,99.8500,98.7000,96.6000,88.3000,54.9500,0.0000,176540.26,399.27
116000,2202.7,235929.9,386876,483478,99.4500,98.6500,96.5500,89.3500,54.2000,0.0000,176984.28,396.33
118000,2240.2,236955.8,387744,483643,99.6500,99.1000,96.2500,88.8500,54.2000,0.0000,176697.66,396.57
120000,2276.5,232430.8,479880,483907,99.6000,98.4500,95.4500,87.9500,53.0500,0.0500,177170.01,396.64
122000,2313.4,233322.3,387384,484086,99.7000,98.9000,96.1500,89.3500,52.7500,0.0000,177263.35,398.86
124000,2351.1,237195.4,532712,484180,99.5500,98.7000,96.6000,88.6500,54.9500,0.1000,176806.23,397.87
126000,2389.2,237634.8,386924,484232,99.8000,99.2500,96.4000,89.3500,53.6000,0.0000,176722.21,396.45
