episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
2000,20.2,242446.0,500720,934896,99.8500,98.7000,95.8000,88.5000,57.7000,0.1500,183498.79,401.82
4000,40.1,243989.5,434096,942861,99.5500,98.7500,96.3000,89.2000,58.5000,0.0000,183659.19,401.23
6000,60.4,245249.7,389236,942777,99.4500,98.4000,96.8000,89.8000,58.5000,0.0000,183615.47,398.62
8000,80.6,242685.6,387220,941029,99.5000,98.5000,95.0500,87.9000,57.2500,0.0000,183307.40,402.60
10000,100.7,241474.5,434604,939490,99.5500,98.8000,96.5000,88.3000,57.3000,0.0000,183717.54,401.95
12000,120.9,243528.1,389132,938973,99.8500,98.8000,96.2000,89.3000,58.0000,0.0000,183720.36,401.96
14000,142.1,243910.7,533168,932458,99.7500,98.6000,96.1500,88.6000,58.2500,0.1000,183469.04,402.30
16000,162.5,241652.8,487892,931343,99.6000,98.7500,96.7000,89.3500,56.3500,0.1000,184057.17,398.63
18000,183.2,241971.3,397612,929312,99.4500,98.3500,95.9500,89.3500,57.0000,0.0000,184137.03,398.27
20000,203.4,244925.0,388108,930592,99.9500,99.0500,96.2500,89.4000,58.3000,0.0000,184156.36,396.04
22000,224.2,241329.7,387436,927829,99.5500,98.8000,96.5000,89.2000,56.6500,0.0000,184301.76,400.09
24000,244.6,243055.3,486176,927901,99.8000,99.1000,96.4000,89.1000,56.9500,0.1000,184021.07,399.97
26000,264.2,237739.0,556648,929167,99.6000,98.8000,96.3500,88.3000,55.2500,0.0500,184317.60,404.69
28000,284.7,242412.6,419868,928808,99.7500,99.2000,96.3000,89.6500,57.5500,0.0000,184360.30,400.01
30000,304.3,239554.3,467152,930138,99.7000,98.7500,95.5500,88.7000,55.5000,0.0500,184405.48,399.35
32000,324.5,244546.9,460020,931099,99.8000,99.0000,96.3500,89.2000,57.8500,0.0500,184066.50,399.84
34000,344.2,243787.6,522008,932891,99.6000,98.3500,96.1000,89.2500,57.9500,0.1000,184087.31,399.89
36000,364.0,238690.7,527620,933153,99.7000,98.7500,96.2000,88.1500,55.5500,0.0500,184367.96,404.98
38000,383.8,241372.6,387412,934211,99.7000,99.0500,96.9000,89.0000,55.8000,0.0000,184329.72,401.74
40000,404.4,242680.2,389856,933158,99.7500,98.8000,95.9500,89.2000,57.3000,0.0000,184229.76,402.41
42000,425.1,242619.9,532732,932173,99.7500,98.6500,96.4500,89.3000,56.9000,0.0500,184498.64,398.31
44000,445.7,242376.4,387172,931526,99.7500,98.8000,96.1500,88.1500,57.7500,0.0000,184495.80,399.50
46000,465.2,237949.2,531540,932288,99.6000,98.6500,96.3000,88.4500,54.9500,0.0500,184932.26,401.34
48000,484.6,236342.4,477696,933016,99.5500,98.9500,95.6000,86.8000,55.4500,0.0500,184768.37,403.98
50000,504.4,242261.3,387456,933936,99.7000,99.2500,96.5000,90.3000,56.5500,0.0000,184839.47,400.17
52000,523.9,242640.9,451684,935118,99.5500,99.0000,95.9000,88.3000,57.5000,0.0000,184618.90,398.88
54000,543.7,241787.1,558864,935795,99.6500,98.5500,96.3500,88.3000,56.6500,0.1000,184506.51,403.62
56000,563.4,243984.7,487060,936771,99.7000,98.7500,96.0500,89.1500,58.1500,0.0500,184444.17,401.37
58000,582.9,240633.0,487156,937555,99.8500,98.8500,96.6500,89.2500,55.4500,0.0500,184851.20,402.04
60000,602.4,241124.8,387040,938398,99.6000,98.8500,96.2500,89.2000,55.5500,0.0000,184947.53,399.82
62000,622.1,242442.4,549504,939032,99.7000,98.6500,95.8500,88.9500,57.2500,0.1000,184755.16,400.48
64000,642.2,240287.1,509948,938750,99.7000,98.7000,96.1000,89.0000,55.9500,0.0500,185040.46,399.26
66000,662.4,239630.5,388624,938312,99.9000,99.2000,96.4500,89.2500,56.5000,0.0000,185451.27,398.51
68000,683.1,242093.0,389360,937496,99.5500,98.8000,96.5500,89.9000,57.0500,0.0000,185179.71,399.91
70000,703.1,238861.5,489644,937370,99.3500,98.6500,95.9500,88.7500,55.4500,0.1000,185199.73,401.74
72000,723.6,246286.8,396808,937245,99.8000,99.4000,97.4000,89.9500,58.0500,0.0000,184559.98,400.84
74000,743.9,245724.3,387824,937461,99.5500,98.8500,96.7000,89.3000,58.9000,0.0000,184877.76,397.44
76000,764.2,245939.2,508776,937583,99.8500,99.1000,96.8500,89.9000,58.5500,0.0500,184663.14,402.57
78000,783.8,239276.9,548832,937942,99.6500,98.9000,96.0000,88.9000,55.8000,0.0500,185450.01,401.71
80000,803.7,241984.7,510308,938075,99.7000,98.7000,96.3000,89.3500,57.2000,0.0500,185281.45,399.28
82000,823.6,242535.9,473992,938418,99.4500,98.7500,96.2500,89.0500,57.6000,0.0000,185276.63,400.14
84000,843.7,244230.4,504084,938533,99.6500,98.7500,95.6500,89.9000,57.8000,0.1000,184888.17,402.88
86000,864.2,243721.3,533352,938191,99.8000,99.2000,96.9500,89.7500,56.6500,0.1000,184975.58,401.10
88000,884.7,244450.5,435620,938035,99.9000,99.2500,96.4500,88.9000,57.8000,0.0000,185018.28,399.40
90000,905.6,242283.9,409632,937205,99.7000,98.8500,96.1500,88.7500,57.4500,0.0000,184931.12,404.38
92000,926.0,240881.8,386880,936834,99.8000,98.8500,96.6000,89.6000,55.8500,0.0000,185781.63,401.60
94000,945.9,244477.4,512080,937273,99.7500,99.2500,97.3000,89.1500,57.9500,0.0500,185415.93,399.93
96000,966.5,245598.4,387336,937065,99.8000,99.1500,96.5000,89.6500,58.1500,0.0000,185426.90,396.94
98000,986.4,244068.9,526680,937393,99.7000,99.1000,97.0000,89.9000,57.7500,0.0500,185434.15,401.98
100000,1005.8,236376.2,549956,937598,99.5500,98.5000,95.4500,87.5500,55.3500,0.1000,185886.45,404.85
102000,1025.9,247253.7,523740,938020,99.6500,98.7500,96.0500,89.2000,59.2000,0.0500,184824.87,401.41
104000,1046.1,242794.0,489148,937928,99.7000,99.0500,96.6000,89.7000,56.6500,0.0500,185635.78,400.14
106000,1066.1,244921.2,389048,938219,99.4000,98.4000,96.0000,89.5000,58.6000,0.0000,185282.47,402.32
108000,1086.0,239405.2,443180,938195,99.9000,98.9500,96.2500,88.4000,56.1500,0.0000,185797.77,401.37
110000,1106.5,246612.7,504276,938157,99.7500,99.1500,96.2500,89.9500,58.7000,0.1500,185346.85,404.72
112000,1127.1,246449.7,511000,938020,99.8500,99.0500,96.3500,89.7000,58.9500,0.0500,185386.20,399.49
114000,1147.3,245569.3,387400,938198,99.8500,99.0500,96.8500,90.0500,57.9500,0.0000,185565.65,398.16
116000,1167.5,245076.8,524332,938230,99.6500,98.9500,96.4500,89.2000,58.6500,0.1500,185646.23,401.35
118000,1188.2,246478.8,513164,938029,99.8500,99.0500,96.8000,89.4000,59.1500,0.0500,185648.86,398.37
120000,1208.3,245588.9,508812,938210,99.8000,99.0500,96.8500,88.9500,58.5000,0.0500,185195.67,404.39
122000,1228.3,243583.3,386272,938425,99.4500,98.9500,96.6000,89.5500,57.4000,0.0000,185785.61,401.17
124000,1248.5,242140.4,386532,938287,99.5500,98.6000,96.4000,89.8500,56.7000,0.0000,186237.38,397.64
126000,1268.9,241672.4,532360,938058,99.9500,98.8000,96.5000,89.0000,56.2000,0.0500,186039.71,402.08
128000,1289.1,242718.5,548408,938027,99.7000,98.8500,96.6000,89.6000,57.1500,0.0500,186118.94,398.75
130000,1309.3,244900.5,387496,938141,99.6500,99.1000,97.1000,90.1000,57.5500,0.0000,185777.37,404.73
132000,1329.7,244511.3,512964,938059,99.8000,99.0500,96.6000,89.8000,58.2000,0.1000,186034.59,400.16
134000,1349.1,242424.3,488492,938523,99.6000,98.5500,95.9500,88.3000,57.0500,0.0500,185873.73,400.65
136000,1368.8,241456.9,419816,938751,99.8500,99.1000,95.8500,88.8000,56.7000,0.0000,186215.90,400.14
138000,1388.8,245665.0,386412,939029,99.6500,98.5500,96.7500,89.9000,59.3500,0.0000,186357.19,398.44
140000,1409.8,249310.1,387136,938775,99.4500,98.7000,96.9500,90.1000,60.7000,0.0000,185626.95,401.65
142000,1429.6,241102.0,401244,938896,99.5500,98.7000,95.9500,88.7500,57.3000,0.0000,186542.10,399.74
144000,1450.6,244433.6,388884,938438,99.6500,98.8500,96.0500,89.1000,57.8000,0.0000,185923.10,405.43
146000,1471.6,243871.8,468740,937889,99.7500,99.1000,96.6000,90.1500,57.4000,0.0500,186412.00,400.52
148000,1492.0,243131.1,406452,937747,99.8000,98.9500,96.9500,88.5000,57.8000,0.0000,186319.13,401.44
150000,1512.4,240972.9,502972,937525,99.8000,99.1000,96.1000,89.2500,57.0000,0.1000,186761.27,402.84
152000,1532.8,245519.4,484976,937508,99.6000,98.7500,96.4500,91.0000,57.6500,0.1000,186289.87,402.87
154000,1552.9,240010.5,533272,937439,99.6500,98.7000,96.1000,88.6000,55.7500,0.1000,186656.78,400.28
156000,1572.7,242292.9,387464,937645,99.5000,98.8500,96.5000,89.3500,57.2000,0.0000,186723.03,398.45
158000,1592.9,241771.3,514564,937545,99.7000,99.0000,96.1500,88.6000,57.2000,0.0500,186755.70,397.62
160000,1613.5,244302.1,459724,937333,99.7000,98.8500,95.9500,88.3000,58.9000,0.0500,186429.50,400.46
162000,1634.3,243872.2,583312,937046,99.9000,99.0500,96.9000,88.7000,58.3500,0.1500,186552.63,401.44
164000,1654.9,243360.6,387296,936787,99.7000,98.7500,96.3500,90.0500,57.5000,0.0000,186587.83,402.37
166000,1675.6,242070.4,486564,936497,99.5500,98.7500,95.1000,89.0000,57.4000,0.0500,186827.71,398.75
168000,1696.3,242884.1,490332,936200,99.7500,98.9500,97.0000,90.1000,58.1500,0.0500,187191.50,400.47
