episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
2000,38.8,250135.3,387008,499409,99.8000,99.1000,97.2000,89.9500,62.1000,0.0000,196813.87,413.13
4000,77.7,251015.0,402296,499783,99.6000,98.8000,96.8000,90.7500,61.8500,0.0000,196868.62,408.76
6000,117.0,249637.3,528352,497224,99.4000,98.8500,96.8500,89.8500,61.2000,0.2000,196758.13,413.97
8000,156.7,248964.6,493660,494523,99.8000,99.1000,96.4000,89.8500,60.2000,0.1000,196845.50,411.91
10000,196.0,250582.7,386596,494565,99.9000,98.8500,96.1000,90.3500,62.2500,0.0000,197182.55,410.56
12000,235.7,250982.3,580180,493802,99.7000,99.1000,96.5000,91.1000,61.2000,0.0500,196894.95,413.08
14000,274.7,246084.3,481200,493251,99.8500,99.1500,96.5000,89.7500,58.6500,0.0000,197287.33,412.53
16000,313.8,246972.3,387408,492882,99.7500,98.9000,96.9000,89.0500,60.1000,0.0000,197073.70,414.41
18000,353.4,251524.0,533200,492846,100.0000,99.2000,96.9000,91.3500,61.5000,0.2000,196830.36,414.76
20000,391.9,246785.1,386868,493268,99.8000,99.2500,96.7000,89.6000,59.4500,0.0000,197117.60,413.47
22000,429.9,246655.6,387428,494256,99.5500,99.0500,96.3000,89.6500,60.4500,0.0000,197178.67,413.20
24000,467.8,247225.4,573364,495208,99.6000,98.4000,96.1000,90.1500,59.9000,0.0500,197245.65,412.59
26000,506.7,253788.5,533180,495947,99.8000,99.4000,96.9000,91.7000,62.6500,0.1500,196730.13,416.23
28000,545.8,254268.4,519900,496453,99.5500,98.6500,96.2000,90.5500,62.9500,0.1000,196366.65,414.43
30000,584.2,248746.3,527216,496851,99.8000,98.5000,96.7500,89.6000,62.0500,0.1000,197334.88,415.70
32000,623.1,247267.9,520320,496644,99.7500,99.0500,96.8000,89.8000,60.1000,0.0500,197303.81,415.24
34000,661.8,250204.4,410816,496932,99.7500,99.2500,96.6500,90.0500,61.3000,0.0000,197535.44,411.59
36000,700.6,248974.7,387284,496939,99.7500,99.1000,96.5500,89.8000,60.7000,0.0000,197069.54,412.73
38000,739.6,249076.0,387512,496863,99.8000,98.9500,97.2000,90.5500,60.1000,0.0000,197182.88,414.80
40000,778.2,245132.0,524336,496691,99.9000,98.8500,96.8000,89.6000,58.4500,0.1000,197923.00,409.00
42000,817.4,248854.8,387380,496520,99.6500,98.5500,96.0500,89.9000,60.5500,0.0000,197315.69,412.87
44000,857.0,250332.7,398020,496217,99.8500,98.8500,96.6500,90.2500,62.4000,0.0000,197575.10,414.08
46000,896.5,246721.8,386928,495707,99.6000,99.1500,96.7500,89.3000,59.8000,0.0000,197679.77,410.38
48000,935.9,247872.3,387184,495410,99.6500,98.8000,96.2000,89.9000,60.5500,0.0000,197654.21,409.73
50000,975.4,249945.4,530728,495242,99.7500,98.9500,96.7000,90.3500,59.9500,0.1000,197445.88,411.84
52000,1014.5,247241.7,389100,495038,99.5500,98.6500,96.4000,89.2000,60.3500,0.0000,197588.87,413.68
54000,1053.9,246899.7,588680,494752,99.6500,98.9000,96.8500,89.2500,58.6500,0.1500,197302.23,417.09
56000,1095.1,253695.2,532752,494080,99.7500,99.2000,97.1000,90.6000,62.6500,0.0500,197074.66,414.79
