episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
2000,35.4,248743.3,473384,543890,99.7000,98.8000,96.5500,89.4000,61.2500,0.0500,201571.92,415.73
4000,70.9,251849.6,497816,546853,99.7500,99.0500,96.6500,90.8500,62.2500,0.0500,201586.19,415.55
6000,105.8,251169.0,568648,550178,99.7500,98.8500,96.7000,90.3500,61.8500,0.1500,201608.38,414.50
8000,141.0,255438.3,388840,553148,99.6000,98.4500,96.2500,90.0500,64.3500,0.0000,200809.45,417.36
10000,176.3,252346.8,524308,553076,99.7500,98.8500,96.9000,90.5500,62.2000,0.0500,201412.45,413.89
12000,212.0,251709.7,489392,552020,99.8000,98.6000,96.5500,90.8000,62.8500,0.1500,201566.68,416.24
14000,246.9,252258.1,533232,553112,99.9000,98.8000,95.8500,90.7000,61.8500,0.1000,201904.38,409.95
16000,282.0,250103.4,560552,552993,99.7500,98.7000,96.4500,90.2500,61.3500,0.0500,201781.66,412.26
18000,317.4,251878.3,533900,552788,99.6000,99.1500,96.9500,90.2500,62.1000,0.0500,201409.29,415.39
20000,353.0,258106.2,492280,553475,99.8000,99.2500,97.6500,92.1500,65.2500,0.0500,201422.44,409.51
22000,387.5,251556.4,404888,554562,99.5000,98.7500,97.4500,91.7000,62.0500,0.0000,201878.95,414.29
24000,421.3,251100.8,523080,556098,99.7500,99.0500,96.7000,90.2500,62.8500,0.0500,202252.25,408.69
26000,457.1,251300.2,523628,555235,99.8500,98.8500,96.8500,90.7000,62.2000,0.0500,202192.10,410.75
28000,493.4,252910.2,514952,554082,99.8500,99.3000,97.1000,90.7000,62.1500,0.0500,201302.88,415.47
30000,529.1,252484.0,388024,553662,99.7500,99.1500,96.9000,90.5500,61.8500,0.0000,201733.49,414.92
32000,563.9,253209.2,509548,554221,99.7000,99.0000,96.8500,89.8500,62.7000,0.0500,201530.23,411.33
34000,598.7,255273.1,402728,555002,99.5500,98.8000,96.6500,90.6000,64.9500,0.0000,201627.23,412.24
36000,633.8,254126.0,490920,555250,99.7000,98.8500,96.8000,91.3500,63.3000,0.1500,201779.89,413.28
38000,669.2,255348.4,406708,555366,99.9500,99.4500,97.2500,92.3000,63.0500,0.0000,201707.42,414.91
40000,704.6,252120.9,411616,555207,99.7000,99.3000,97.7000,91.4500,62.8500,0.0000,202318.12,411.16
42000,739.5,251926.3,513448,555386,99.8500,99.2500,97.1500,91.1000,62.6000,0.0500,202247.74,411.14
44000,773.8,248223.4,409136,555612,99.7000,99.3500,96.9500,90.2000,60.6500,0.0000,202615.00,412.42
46000,809.0,255458.9,451864,555868,99.7000,99.3000,97.9500,91.2500,63.7500,0.0000,201832.97,410.64
48000,843.4,253911.3,509136,556500,99.7500,99.2500,96.8500,90.5000,63.5500,0.0500,201739.85,416.72
50000,879.4,254939.3,510752,556083,99.7500,98.9000,97.6000,91.9500,63.8500,0.1000,201843.38,414.02
52000,915.3,255548.0,524420,555887,99.8500,99.3000,97.0500,91.7000,64.7500,0.1000,202092.35,414.01
54000,950.3,254536.9,532544,556114,99.7500,99.2000,96.9000,90.6500,64.2000,0.1000,201942.67,413.30
56000,985.1,256920.4,532724,556644,99.9000,99.4000,97.5000,92.1500,64.6000,0.1500,201895.61,411.25
58000,1019.9,253321.6,523904,556845,99.6000,99.1500,97.2500,91.1500,63.2500,0.1000,202355.92,412.70
60000,1054.4,250995.4,512832,557086,99.7500,99.0500,97.0000,90.6000,61.8500,0.0500,202649.09,407.42
62000,1090.1,256238.4,387820,556983,99.7000,99.1500,96.9500,90.1500,65.2000,0.0000,201788.59,415.03
64000,1126.1,257258.4,559544,556800,99.6500,99.0000,97.3000,91.5500,65.3000,0.1000,201806.20,414.21
66000,1161.5,255033.3,533964,556827,99.9000,99.2000,97.2500,91.2500,64.1000,0.1000,202490.01,411.36
68000,1196.2,250186.1,488208,556853,99.6500,98.7500,96.1000,89.7000,62.3500,0.1000,202584.46,410.26
70000,1231.8,251562.8,529104,556597,99.8000,98.9500,97.1000,90.6500,62.1000,0.0500,202527.97,412.78
72000,1267.6,256617.6,521604,556516,99.8000,98.9500,97.1500,90.8000,65.7500,0.0500,202365.31,409.28
74000,1302.2,254308.6,467900,556819,99.6000,99.0000,96.9500,91.0500,63.1500,0.0500,202309.82,409.36
76000,1336.6,250796.3,389136,557039,99.8000,98.9500,96.7000,89.8000,62.7500,0.0000,202412.55,413.83
