timestamp,source,games,mean,median,p05,p95,max,mean_moves,r2048,r4096,r8192,r16384,r32768,kept
2026-08-06T18:08:36+00:00,runs/r7_ms.bin,600,257400,288996,70060,377328,492260,9943,98.67,96.67,91.67,64.33,0.33,1
2026-08-06T18:30:20+00:00,runs/r7_ms.bin,600,259564,288860,78556,367204,386640,10014,99.00,97.67,92.50,67.00,0.00,1
2026-08-06T18:48:51+00:00,runs/r7_ms.bin,600,248076,282792,63836,368424,385428,9619,98.67,96.33,91.00,61.67,0.00,0
2026-08-06T19:10:25+00:00,runs/r7_ms.bin,600,248359,284376,60508,372152,386144,9632,99.00,96.00,90.67,59.83,0.00,0
2026-08-06T19:28:55+00:00,runs/r7_ms.bin,600,255886,287072,76256,366792,386512,9881,99.50,97.17,90.50,64.83,0.00,0
2026-08-06T19:50:30+00:00,runs/r7_ms.bin,600,254194,286444,80344,365656,387184,9834,98.83,97.83,92.50,63.33,0.00,0
2026-08-06T20:09:00+00:00,runs/r7_ms.bin,600,246236,280784,75572,366484,385812,9553,98.67,96.67,90.00,59.83,0.00,0
2026-08-06T20:30:43+00:00,runs/r7_ms.bin,600,261615,287968,80516,366312,386592,10084,99.83,97.83,93.83,67.50,0.00,1
2026-08-06T20:49:14+00:00,runs/r7_ms.bin,600,252046,284940,67020,369080,386320,9737,99.00,96.33,88.83,65.17,0.00,0
2026-08-06T21:10:47+00:00,runs/r7_ms.bin,600,251417,286160,71444,368916,470096,9739,99.00,96.67,88.67,62.67,0.00,0
2026-08-06T21:29:17+00:00,runs/r7_ms.bin,600,250019,281468,76668,373252,386368,9687,99.17,97.17,89.67,62.17,0.00,0
