episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
2000,38.9,248038.7,505492,494053,99.7500,98.8500,96.0500,89.4500,61.1500,0.0500,201731.08,414.34
4000,77.4,250361.3,512412,498866,99.5500,98.9500,96.9000,89.8000,61.2000,0.0500,201670.42,412.07
6000,117.0,254456.0,387664,498435,99.8500,99.3500,97.4500,90.8000,64.1000,0.0000,201495.07,411.01
8000,155.3,252309.3,388092,501326,99.5500,98.7000,96.5000,90.6500,62.0000,0.0000,201446.57,413.64
10000,194.2,248787.7,387372,500215,99.8000,99.2000,97.0500,90.5500,60.2000,0.0000,201806.47,416.11
12000,233.1,254347.0,387160,501367,99.8500,99.2500,96.4000,91.7500,63.0000,0.0000,201425.59,413.23
14000,272.0,253745.5,515116,501770,99.9500,99.2500,97.5500,91.6500,63.3000,0.1000,201704.79,414.45
16000,310.6,249024.4,388264,501611,99.7000,98.7000,95.9500,91.0500,60.9000,0.0000,201951.68,413.28
18000,350.1,255714.7,512292,501424,99.9000,99.4000,97.2500,91.5000,63.4500,0.1000,201341.07,413.97
20000,388.8,256113.9,533136,502598,99.9000,99.0500,96.9000,91.6000,63.7000,0.1000,201286.26,414.38
22000,426.7,252791.1,387276,503763,99.8500,99.1500,96.8500,90.5000,62.1500,0.0000,201377.00,415.29
24000,466.1,253770.0,456244,503292,99.8500,99.0500,96.9000,90.5500,63.4500,0.0000,201637.34,413.20
26000,505.6,251730.6,523784,502629,99.5000,99.0500,97.4000,91.4000,61.1000,0.0500,201742.49,413.96
28000,544.6,253642.4,389056,502656,99.8500,98.9000,96.6000,90.6500,63.1500,0.0000,201563.89,412.64
30000,582.6,251996.4,385496,503374,99.9000,99.3500,97.5000,90.3000,62.2000,0.0000,201973.26,413.74
32000,620.3,247926.9,484896,503833,99.6500,99.1000,96.5500,89.6000,60.0000,0.0500,202155.60,414.70
34000,659.1,253898.7,488752,503927,99.9500,99.0500,97.0000,90.7500,63.6500,0.0500,201788.10,414.58
36000,697.7,250789.4,487488,503897,99.6000,98.7500,96.1000,90.4000,61.5500,0.0500,201691.81,418.85
38000,736.8,251430.8,551472,503620,99.8500,99.1500,96.3500,90.1000,61.8500,0.0500,201645.64,416.79
40000,775.6,252374.7,526996,503614,99.6000,99.0500,96.8500,89.5000,63.0000,0.0500,201803.12,414.25
42000,813.0,247648.6,387896,504084,99.6500,98.8000,96.6000,89.4000,60.3500,0.0000,202270.76,413.27
44000,851.1,253645.8,508220,504618,99.7000,98.7500,97.1000,91.8000,61.7500,0.0500,201654.14,417.16
46000,891.0,252189.1,527916,503966,99.8500,99.3500,97.3000,90.5500,62.3500,0.0500,201812.61,418.41
48000,929.8,252375.3,532908,503939,99.5000,98.6500,97.1000,91.1500,62.3500,0.1000,202104.70,416.04
50000,967.9,251683.2,552328,504214,99.5500,98.6500,96.9000,90.0000,61.8000,0.1000,201800.21,414.90
52000,1006.0,252695.2,533224,504560,99.8500,99.0500,96.9000,90.9500,62.9500,0.1000,202208.00,413.34
54000,1045.1,255206.8,553596,504586,99.6000,98.9500,96.0500,90.4500,63.5000,0.3000,201654.31,413.05
56000,1083.9,249583.2,490804,504372,99.8500,99.2500,96.6000,89.9500,61.2500,0.0500,202102.95,415.26
58000,1123.8,255527.0,544412,504043,99.8500,98.7000,96.9500,91.1500,64.0500,0.1000,201864.30,414.55
60000,1162.3,250366.6,520128,504044,99.7000,99.0500,96.5000,90.6000,61.7500,0.0500,202252.20,413.56
62000,1201.2,253133.5,417836,504041,99.7500,98.5500,96.0500,90.7000,62.6000,0.0000,201687.65,415.45
64000,1240.3,249857.9,428264,503761,99.6000,98.7500,96.2500,89.0000,63.0500,0.0000,202111.37,415.32
66000,1279.5,250194.3,529480,503481,99.7000,98.6000,96.1000,89.7500,61.8500,0.1000,202311.07,412.39
68000,1317.7,251752.5,529260,503654,99.9000,99.2500,97.1000,91.0500,61.8500,0.0500,202360.45,416.88
70000,1355.7,252032.5,532520,503967,99.8500,98.9500,96.3500,90.4500,62.3000,0.0500,201745.16,415.62
