episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
2000,40.1,255634.3,525712,492476,99.6500,99.1000,97.2500,91.2500,64.7000,0.1000,208613.19,413.47
4000,80.4,257893.9,554852,493135,99.5500,99.3000,97.0000,91.6000,65.1500,0.1500,208268.43,414.66
6000,119.5,256136.1,386992,497694,99.8000,99.1000,97.1000,91.3500,65.1500,0.0000,208624.66,413.85
8000,157.9,256094.7,387228,501881,99.9000,99.0500,96.8500,91.0500,65.0000,0.0000,208584.53,414.37
10000,195.9,255385.6,509252,505323,99.5000,98.8500,96.9000,91.4500,64.4000,0.0500,208682.60,415.41
12000,234.8,260502.8,529704,507135,99.8000,99.0500,96.7500,92.7500,66.8000,0.0500,208219.70,414.72
14000,272.8,254780.4,410388,508668,99.8000,99.2000,97.4500,91.3000,63.6500,0.0000,208805.23,412.54
16000,311.4,252934.2,532588,508584,99.7500,99.3000,97.0000,91.6500,63.0500,0.1500,209140.95,411.70
18000,351.2,256387.3,388300,507356,99.7500,98.9500,96.9500,91.3000,64.4000,0.0000,208407.33,413.94
20000,390.8,257946.6,389184,506954,99.7500,99.2500,97.1500,91.5000,65.3000,0.0000,208245.76,415.36
22000,430.2,257259.0,407196,506761,99.8000,99.3000,97.2500,90.9500,65.6500,0.0000,208609.01,414.19
24000,470.3,257629.6,521972,505871,99.8000,98.9500,96.9500,91.6000,64.9000,0.0500,208278.04,418.43
26000,509.9,258523.0,479412,505723,99.8500,99.3000,97.4500,91.4500,65.0000,0.0500,208545.29,413.89
28000,549.4,259902.3,468780,505873,99.6500,98.6500,96.7000,92.0500,66.4500,0.0500,208243.55,415.85
30000,589.3,254337.2,489356,504983,99.8000,99.3500,97.4500,90.4500,64.0000,0.0500,208669.13,417.24
32000,628.9,257242.4,565800,504804,99.8000,98.8000,96.4000,90.6000,65.6500,0.1000,208731.07,412.95
34000,668.2,255143.8,555312,504655,99.8000,99.0500,97.2500,91.5500,63.4000,0.1000,208708.41,418.55
36000,707.0,255324.7,533392,504858,99.7500,98.8500,97.0500,91.1000,64.4500,0.1000,209019.26,413.43
38000,746.1,253641.5,455196,504662,99.7000,98.9000,97.0000,90.8500,63.7500,0.0000,209080.04,417.05
40000,785.4,259953.3,563824,504976,99.6000,99.1500,96.9000,91.6000,66.3000,0.2000,208366.67,413.81
42000,824.7,256347.7,512772,504942,99.7000,99.0000,96.3500,91.0500,64.0500,0.2000,208612.98,415.12
44000,864.7,255199.8,526632,504391,99.7000,98.6000,96.7000,91.2500,63.9000,0.0500,209011.44,412.85
46000,905.3,256603.7,509908,503719,99.6000,99.2000,97.1000,91.7000,63.7000,0.1000,208859.55,414.45
48000,944.9,258774.9,530000,503730,99.7500,99.0000,97.1500,91.9000,66.0000,0.0500,208798.14,412.00
50000,983.1,254252.9,530276,504176,99.6500,99.0000,96.9500,90.4500,63.6000,0.0500,208886.33,416.15
52000,1022.0,255423.8,387072,504308,99.6000,98.9500,97.2500,90.9000,64.4500,0.0000,208866.24,415.04
