episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
2000,83.5,259242.2,514248,239712,99.6500,99.1500,97.2500,91.7500,65.7500,0.0500,208078.61,419.13
4000,162.7,255465.2,477524,244556,99.6000,99.1000,97.6000,92.1000,62.6000,0.0500,208593.26,414.11
6000,241.3,258234.9,387340,247601,99.4500,98.6500,96.8500,91.7000,65.5000,0.0000,208478.73,411.36
8000,322.2,259524.9,531792,247582,99.8000,99.3000,97.5000,91.9000,65.7000,0.0500,208519.67,410.74
10000,405.3,259856.5,524160,246341,99.8500,99.3500,97.7500,92.6000,65.8500,0.1000,208584.32,407.13
12000,488.1,259012.8,503784,245579,99.8500,99.4000,97.2500,92.3500,65.7000,0.1000,208683.26,406.61
14000,571.7,262374.8,462424,245074,99.8500,99.5000,97.7000,91.7000,66.6500,0.0500,207930.01,406.97
16000,654.0,261473.8,387316,245089,99.6500,98.9500,97.0500,92.7000,66.5000,0.0000,208407.13,404.07
18000,735.5,260236.8,502908,245244,99.6000,99.0500,97.7000,92.3500,65.5500,0.1000,208531.17,402.74
20000,817.2,257634.6,388808,245104,99.8500,99.1000,96.7500,91.2500,64.8000,0.0000,208576.75,403.75
22000,900.2,258623.0,509380,244699,99.8000,99.2500,97.2500,92.2000,64.6000,0.1000,208691.46,403.67
24000,982.1,261253.2,530016,244837,99.8000,99.3000,97.2500,92.0000,66.2000,0.1000,208372.51,406.25
26000,1062.7,258617.2,387524,245059,99.7500,99.2000,96.9000,91.5000,66.1000,0.0000,209013.81,399.53
28000,1145.1,260786.9,553472,245030,99.7500,99.4500,97.6500,91.6500,65.2000,0.1500,208408.29,404.70
30000,1229.3,261058.8,523624,244643,99.7500,99.1500,96.9000,91.3000,66.2500,0.0500,208347.24,402.14
32000,1314.2,260540.3,387128,244139,99.7000,98.9500,96.9500,91.2500,66.0500,0.0000,208294.84,402.27
34000,1396.0,260079.7,557728,244211,99.8500,99.4000,97.1000,91.7000,66.5500,0.1000,208762.00,403.63
36000,1477.6,264479.0,520492,244516,99.7500,99.3500,97.2000,92.5500,67.3500,0.0500,208386.60,399.56
38000,1558.8,259963.2,469888,244653,99.8000,99.0000,97.3500,91.6000,66.1000,0.0500,208948.99,401.19
40000,1642.2,260648.1,388632,244492,99.7500,99.3000,97.5000,92.5500,65.4500,0.0000,208812.77,402.75
42000,1726.3,261479.1,500088,244269,99.7000,99.2000,97.2000,91.5500,67.0000,0.0500,208806.59,399.36
44000,1809.2,264453.7,469276,244358,99.7500,99.3000,97.3000,92.3000,67.5500,0.0500,208351.92,402.05
46000,1891.7,264153.4,387220,244464,99.8500,99.0000,97.1500,91.7500,67.5000,0.0000,208518.36,401.01
48000,1976.6,263742.1,389232,244257,99.7500,99.1500,97.4000,92.1500,67.7500,0.0000,208542.96,400.77
50000,2059.6,261931.1,386856,244231,99.8500,99.3500,97.4000,91.3500,66.4500,0.0000,208479.38,402.27
52000,2141.5,260108.9,576988,244270,99.6000,99.0000,97.1500,91.7000,66.0000,0.1000,209177.25,402.61
54000,2223.6,261876.1,522588,244335,99.7000,99.3500,97.0500,91.3500,66.6500,0.1000,208812.43,399.70
56000,2306.1,262584.1,532492,244386,99.7000,99.2000,97.3500,92.5000,66.5000,0.0500,208801.37,403.25
58000,2387.9,263907.8,497928,244532,99.9000,99.4500,97.1500,92.0500,67.2000,0.0500,208541.97,402.50
60000,2469.5,260764.7,556828,244612,99.8500,99.1500,97.7000,91.9500,65.8000,0.0500,209197.48,398.77
62000,2551.1,266030.7,600796,244815,99.7000,99.3000,97.3500,92.3000,69.3000,0.0500,208920.87,398.70
64000,2630.9,258597.5,531624,244993,99.8000,99.6000,97.3500,92.0000,65.0500,0.1000,209623.06,397.95
66000,2714.6,262055.6,409640,244884,99.7500,99.2500,96.3000,90.9500,67.0000,0.0000,208845.30,400.44
68000,2795.5,260827.7,533264,245003,99.8500,99.4000,97.3000,92.4500,64.8500,0.0500,209279.11,398.73
70000,2876.9,263428.7,504480,245138,99.9500,99.3500,98.0000,92.7000,66.9500,0.1000,209188.50,399.68
72000,2958.4,262060.3,402452,245219,99.8500,98.9500,97.4000,92.0500,66.9000,0.0000,209063.30,399.57
74000,3040.8,263032.7,517636,245246,99.6500,99.3500,97.7000,92.4000,66.5000,0.0500,209085.48,399.76
