timestamp,source,games,mean,median,p05,p95,max,mean_moves,r2048,r4096,r8192,r16384,r32768,kept
2026-08-06T22:23:59+00:00,runs/r8_wide.bin,600,256143,287580,68400,372616,387164,9911,99.17,97.00,91.17,63.00,0.00,1
2026-08-06T22:46:11+00:00,runs/r8_wide.bin,600,264297,290228,80420,377504,386524,10198,99.83,97.67,93.50,66.67,0.00,1
2026-08-06T23:05:23+00:00,runs/r8_wide.bin,600,265078,290460,76448,374328,386980,10215,98.67,97.00,92.33,67.83,0.00,1
2026-08-06T23:24:28+00:00,runs/r8_wide.bin,600,261842,290288,72516,377500,397288,10105,98.83,96.33,91.17,66.67,0.00,0
2026-08-06T23:43:37+00:00,runs/r8_wide.bin,600,264285,289768,80344,377232,387364,10214,99.50,97.83,93.50,65.67,0.00,0
2026-08-07T00:05:41+00:00,runs/r8_wide.bin,600,263949,290644,77812,377628,385588,10198,99.33,96.33,91.50,65.50,0.00,0
2026-08-07T00:24:43+00:00,runs/r8_wide.bin,600,264711,290304,68292,377080,608252,10193,98.83,96.00,91.83,68.50,0.33,0
2026-08-07T00:43:46+00:00,runs/r8_wide.bin,600,265618,290304,71576,376220,386632,10232,99.17,96.67,92.17,69.50,0.00,1
2026-08-07T01:05:55+00:00,runs/r8_wide.bin,600,266413,290412,80416,374436,488992,10273,99.67,97.33,93.33,67.17,0.17,1
2026-08-07T01:25:01+00:00,runs/r8_wide.bin,600,268863,305712,80396,377452,511080,10356,99.00,97.50,93.50,67.67,0.50,1
2026-08-07T01:44:08+00:00,runs/r8_wide.bin,600,269376,290056,84148,377760,385976,10390,99.83,98.50,94.83,69.50,0.00,1
2026-08-07T02:03:10+00:00,runs/r8_wide.bin,600,266584,309748,71648,376052,533428,10272,98.33,96.50,91.17,67.67,0.33,0
