timestamp,source,games,mean,median,p05,p95,max,mean_moves,r2048,r4096,r8192,r16384,r32768,kept
2026-08-07T04:14:18+00:00,runs/r9_ctl.bin,600,269337,292608,80224,377500,531052,10383,99.83,98.33,92.67,68.50,0.17,1
2026-08-07T04:36:26+00:00,runs/r9_ctl.bin,600,268757,290572,79704,377404,386880,10365,99.17,97.17,93.33,68.67,0.00,0
2026-08-07T04:55:36+00:00,runs/r9_ctl.bin,600,271916,318772,79744,376744,384640,10475,99.33,97.50,92.33,69.83,0.00,1
2026-08-07T05:14:45+00:00,runs/r9_ctl.bin,600,265414,289772,71108,376496,387160,10239,99.33,96.67,93.00,67.83,0.00,0
2026-08-07T05:33:54+00:00,runs/r9_ctl.bin,600,268073,290284,79672,377268,386328,10340,99.50,97.50,92.67,68.50,0.00,0
2026-08-07T05:56:02+00:00,runs/r9_ctl.bin,600,265901,289320,78328,375804,512320,10247,99.00,97.33,92.33,68.67,0.17,0
2026-08-07T06:15:09+00:00,runs/r9_ctl.bin,600,268476,289816,80524,375688,386384,10347,99.67,97.83,93.83,69.50,0.00,0
2026-08-07T06:34:19+00:00,runs/r9_ctl.bin,600,268989,290640,76528,378408,489300,10370,99.00,97.00,93.00,68.00,0.17,0
2026-08-07T06:56:27+00:00,runs/r9_ctl.bin,600,259418,289728,77836,376488,385548,10027,99.83,97.17,91.33,65.00,0.00,0
2026-08-07T07:15:36+00:00,runs/r9_ctl.bin,600,260178,288328,79624,373128,385560,10059,99.67,98.00,92.83,64.83,0.00,0
2026-08-07T07:34:45+00:00,runs/r9_ctl.bin,600,274462,315064,82140,373620,429680,10551,100.00,98.17,94.17,72.00,0.00,1
2026-08-07T07:53:48+00:00,runs/r9_ctl.bin,600,271602,299180,79436,378316,526492,10459,99.67,97.83,92.33,69.67,0.33,0
