episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
2000,67.2,264497.9,522040,237372,99.9141,99.2268,97.2509,91.9244,67.4399,0.1718,212807.73,394.67,836,4,788
4000,130.9,271662.0,407176,238246,99.3884,99.0826,96.9419,91.9470,70.9480,0.0000,211815.30,394.68,1855,8,1487
6000,195.3,264555.4,513116,238138,99.7110,98.7476,96.8208,91.5222,67.1484,0.0963,212623.46,392.53,2817,14,2188
8000,260.0,264037.6,529676,237622,99.9035,98.9382,96.4286,92.5676,67.3745,0.2896,212865.11,399.35,3781,22,2890
10000,323.7,266522.1,470168,238353,99.4203,98.6473,96.7150,90.7246,68.5990,0.0966,211908.98,398.89,4746,29,3600
12000,386.8,267638.9,439356,238710,99.9009,99.0089,97.5223,92.7651,69.3756,0.0000,212546.61,395.00,5737,34,4303
14000,450.4,267554.8,387144,239038,99.6055,99.4083,98.0276,93.7870,68.2446,0.0000,212426.12,394.22,6723,37,4993
16000,514.9,272325.8,386636,239034,99.7015,99.3035,98.0100,92.9353,70.6468,0.0000,211841.34,394.26,7718,39,5704
18000,574.6,262446.8,386868,239902,99.7932,99.0693,96.8976,92.1406,66.7011,0.0000,213284.52,391.07,8751,41,6349
20000,637.7,266566.8,528172,240043,99.9011,99.6044,98.0218,93.5707,67.9525,0.0989,212902.77,393.47,9740,42,7038
22000,699.6,267564.1,499132,240553,99.7033,99.2087,97.9228,93.5707,68.2493,0.0989,212507.06,393.49,10729,49,7733
24000,761.6,261478.1,483740,240560,99.7980,99.5960,98.0808,92.1212,66.3636,0.1010,213333.30,392.85,11739,54,8392
26000,823.6,266083.5,550888,240708,99.4939,98.8866,97.5709,92.1053,68.3198,0.2024,212392.87,394.14,12751,59,9067
28000,883.7,261865.2,386684,241200,99.7978,99.6967,97.9778,92.6188,67.0374,0.0000,213037.74,396.39,13762,61,9731
