episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
20000,4.1,2073.4,11312,884286,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,219651904434939.59,63840443734206.98
40000,8.3,2228.2,9748,908917,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,96653479813053.48,26369145409498.62
60000,12.4,2262.0,10668,921700,0.0150,0.0000,0.0000,0.0000,0.0000,0.0000,71324808419550.38,19779394108595.53
80000,16.5,2290.4,10220,930847,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,55829529295929.27,16238946420674.13
100000,20.6,2301.2,10288,935510,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,45111901807214.66,13866605473453.92
120000,24.8,2263.1,11548,936026,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,37095088673370.36,12202108338872.07
140000,28.9,2221.8,8256,936501,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30993122615463.99,10941740731878.04
160000,32.9,2197.2,10444,938555,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,26269123259265.76,9916749658809.42
180000,36.8,2151.9,7624,941065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22491733331666.45,9042414666472.54
200000,40.6,2092.7,9552,944359,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,19349963858330.48,8373354652623.39
220000,44.3,2030.4,7036,947868,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16809630779275.39,7822708952908.70
240000,47.7,1981.7,7160,954150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14715729887238.75,7288935630456.37
260000,51.2,1951.0,9840,958116,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,12883384156933.23,6831294216267.65
280000,54.7,1873.9,8652,959785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11373216701489.96,6416474525480.65
300000,58.1,1817.9,10116,960192,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,9988337269220.80,6111040128651.10
320000,61.6,1780.2,6924,959891,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8921273295762.12,5766616841127.16
340000,65.0,1728.7,6836,959533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7931122518960.47,5447225598054.14
360000,68.3,1685.6,7272,959941,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7050097818717.80,5178471121944.62
380000,71.4,1643.6,7248,962238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6307426157359.55,4947064950430.25
400000,74.5,1609.3,7164,963253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5682525387042.07,4770202179866.21
420000,77.7,1559.4,6724,963234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5165871225964.68,4528379577101.93
440000,80.7,1514.1,6920,964161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4610227461209.92,4371494565120.32
460000,83.6,1495.0,6728,965932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4159696006987.77,4208223461931.44
480000,86.5,1448.1,6712,966310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3753801703807.17,4037955119330.26
500000,89.4,1416.3,6444,966725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3468389781258.98,3862957911639.32
520000,92.3,1372.7,6560,966315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3066403471753.10,3767116621485.25
540000,95.2,1330.5,6320,965943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2815523776608.39,3617006828829.24
560000,98.0,1313.0,5676,965640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2555218609887.64,3545721901868.92
580000,100.8,1284.6,5800,965355,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2365225887763.10,3418214612592.28
600000,103.5,1244.8,6164,965092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2092384104046.94,3302304367961.03
620000,106.0,1219.1,5484,966498,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1939748782591.35,3172956451077.85
640000,108.6,1194.4,6272,966311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1747685942124.22,3075111911490.78
660000,111.2,1161.6,5416,966027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1565777094655.77,3021892745744.89
680000,113.8,1139.0,6312,965797,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1492105315128.17,2917636902274.10
