episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
2000,1.6,10173.3,34848,799820,36.3500,1.5000,0.0000,0.0000,0.0000,0.0000,851.97,57.50
4000,3.7,15259.7,55424,845865,71.9000,11.8500,0.1000,0.0000,0.0000,0.0000,1704.87,78.00
6000,6.0,17734.0,57584,861371,80.6000,20.3000,0.1500,0.0000,0.0000,0.0000,2408.15,89.86
8000,8.6,19752.4,62492,861428,83.3000,30.3500,0.5500,0.0000,0.0000,0.0000,3014.26,98.48
10000,11.4,21444.6,60320,864352,87.7000,37.2000,0.8500,0.0000,0.0000,0.0000,3585.56,105.26
12000,14.2,22940.7,62976,868343,89.0500,43.4500,1.2000,0.0000,0.0000,0.0000,4100.44,111.38
14000,17.2,24260.1,70456,872017,92.0500,48.8000,1.6000,0.0000,0.0000,0.0000,4585.96,115.71
16000,20.3,25138.5,68600,873766,91.8500,51.2500,2.2500,0.0000,0.0000,0.0000,5058.28,119.59
18000,23.6,26481.7,80568,874261,93.5500,54.6500,3.5500,0.0000,0.0000,0.0000,5490.51,122.80
20000,26.9,27328.8,76760,876093,93.3500,58.6500,3.8500,0.0000,0.0000,0.0000,5924.20,125.58
22000,30.3,28522.3,73380,878324,95.2000,61.9500,4.8500,0.0000,0.0000,0.0000,6372.30,127.92
24000,33.8,29450.0,78800,878527,95.5500,64.7000,5.3000,0.0000,0.0000,0.0000,6812.38,130.57
26000,37.4,30263.4,81872,879219,96.5500,66.3000,5.6500,0.0000,0.0000,0.0000,7227.08,133.80
28000,41.1,31261.4,105584,879617,95.9000,67.0000,8.1500,0.0500,0.0000,0.0000,7588.65,137.70
30000,44.9,31944.0,86592,879893,96.9000,68.1500,8.7000,0.0000,0.0000,0.0000,7991.19,140.15
32000,48.8,32712.7,117516,880323,96.7500,71.5500,9.3500,0.0500,0.0000,0.0000,8362.74,142.24
34000,52.8,34524.1,133024,880794,97.2000,73.3000,12.5500,0.0500,0.0000,0.0000,8697.45,144.72
36000,56.9,35762.4,108228,882191,97.5000,75.5000,14.6500,0.1000,0.0000,0.0000,9069.58,147.20
38000,61.1,36381.9,123008,882659,97.4500,76.6000,16.3000,0.1000,0.0000,0.0000,9483.97,149.37
40000,65.4,37115.6,115172,882525,97.0000,77.4000,17.3500,0.0500,0.0000,0.0000,9847.99,151.64
42000,69.7,38271.1,126184,883412,98.0500,77.5500,20.4000,0.1500,0.0000,0.0000,10198.01,154.93
44000,74.2,38761.5,123268,883649,97.8500,79.0000,20.6500,0.2500,0.0000,0.0000,10576.94,156.85
46000,78.6,39005.5,110128,883853,98.1500,78.2500,21.3000,0.1500,0.0000,0.0000,10895.80,159.53
48000,83.1,40290.1,136284,885646,97.9000,78.6000,23.3500,0.4000,0.0000,0.0000,11218.02,161.56
50000,87.7,41113.5,131192,886240,98.3500,80.0000,26.0500,0.3500,0.0000,0.0000,11570.34,163.57
52000,92.3,41978.0,132560,886970,98.1500,81.0000,27.5000,0.2000,0.0000,0.0000,11924.19,163.99
54000,97.2,43051.3,160068,887018,98.6500,81.8000,30.2500,0.3500,0.0000,0.0000,12253.71,165.74
56000,102.1,43817.6,145340,886847,98.7000,81.3500,31.6000,0.7000,0.0000,0.0000,12581.32,168.06
58000,107.1,44549.0,124468,886511,98.1500,82.4500,33.6000,0.3500,0.0000,0.0000,12919.71,169.86
60000,112.1,45418.1,137060,886542,98.7500,83.8000,34.0500,0.7000,0.0000,0.0000,13265.01,170.47
62000,117.3,46064.7,147576,886311,98.8500,85.1500,35.5000,0.4500,0.0000,0.0000,13567.10,173.05
64000,122.4,46613.5,148980,886674,98.4000,84.3500,36.8000,0.9500,0.0000,0.0000,13912.63,174.32
66000,127.7,47923.6,133424,886970,98.6000,85.9500,39.1000,0.8500,0.0000,0.0000,14221.02,175.61
68000,132.8,47822.4,130756,888251,98.8500,84.9000,38.1500,1.3000,0.0000,0.0000,14595.66,175.74
70000,138.1,48976.9,144292,888889,98.8000,86.7500,40.4000,1.3500,0.0000,0.0000,14899.03,177.26
72000,143.4,48811.8,133724,889162,98.5000,84.6000,40.5000,1.3000,0.0000,0.0000,15220.34,178.44
74000,148.8,49771.2,148740,889315,98.6500,87.1500,42.2000,1.5000,0.0000,0.0000,15524.55,181.32
76000,154.3,50722.1,139964,889359,99.0500,87.9000,43.8000,0.9000,0.0000,0.0000,15783.04,181.91
78000,159.9,51087.3,148364,889445,99.1500,87.0000,44.6000,2.0000,0.0000,0.0000,16142.77,182.94
80000,165.5,52070.8,152976,889852,98.8500,87.7000,45.7500,2.0000,0.0000,0.0000,16443.74,183.54
82000,171.0,51725.0,156716,890179,98.9500,87.3500,44.9000,2.3500,0.0000,0.0000,16791.12,185.71
84000,176.7,53313.5,167448,890561,98.6000,88.4000,48.3000,1.9000,0.0000,0.0000,17076.75,185.84
