episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
2000,18.8,212410.2,508924,892832,99.8000,98.7500,95.9500,85.5500,43.3000,0.1000,151481.65,380.82
4000,37.6,214607.9,487480,897375,99.7500,98.7000,95.9500,85.6500,44.4500,0.0500,151043.33,383.35
6000,56.5,214566.7,416788,897076,99.8500,98.7000,95.9000,87.0000,44.1500,0.0000,151493.10,379.60
8000,75.5,215320.0,509136,897149,99.8000,99.1000,95.9500,85.7000,44.5500,0.2000,151329.97,382.07
10000,94.2,215031.2,410700,898884,99.7500,98.9000,96.2500,87.3000,44.4000,0.0000,151429.01,381.92
12000,112.9,213367.5,387380,898935,99.9500,98.9000,95.8000,86.2000,43.6000,0.0000,151842.67,378.59
14000,131.8,214575.0,504092,899055,99.8500,98.8500,95.7500,86.9000,43.1500,0.1000,151451.37,381.24
16000,150.9,217389.2,476324,898672,99.7500,99.1000,96.0000,86.9500,45.9500,0.0500,151609.91,380.19
18000,169.6,213036.6,512388,898821,99.8000,99.2000,95.8500,85.2000,43.9500,0.0500,151730.29,382.36
20000,188.4,214856.7,410464,899285,99.9500,99.0000,95.7500,85.9500,44.3500,0.0000,151677.53,379.88
22000,207.2,214017.5,405716,899322,99.8000,98.8500,96.3000,86.5000,43.2500,0.0000,151895.41,383.32
24000,226.7,221339.2,484280,898937,99.7500,99.2000,96.9000,88.2500,47.7500,0.0500,151529.76,382.47
26000,245.5,211989.6,462172,898445,99.6000,98.8000,95.9500,86.1000,42.5500,0.0000,151953.30,384.10
28000,264.3,215966.7,478256,898707,99.9000,98.6000,96.0000,86.4500,45.5000,0.0500,151896.94,383.47
30000,283.2,214618.8,387236,898646,99.7000,98.7500,95.8500,85.5000,44.6500,0.0000,151934.50,383.61
32000,302.1,214992.8,432248,898597,99.9500,99.0500,95.8500,85.9000,44.4500,0.0000,152138.54,381.63
34000,320.8,211871.6,408712,898510,99.8500,98.7500,95.8500,85.2500,43.3500,0.0000,152189.65,384.24
36000,339.6,212706.8,513476,898396,99.9000,99.1500,96.1000,86.0500,42.7500,0.1000,152328.17,383.04
38000,358.6,215346.6,468580,898126,99.8500,98.6500,96.4000,86.1000,44.8500,0.0500,152216.27,383.63
40000,377.6,216161.8,408652,898065,99.8000,98.9000,96.2000,86.3500,44.5000,0.0000,152429.91,380.67
42000,396.6,216268.9,493868,898050,99.7500,99.0000,96.2000,87.0500,44.6000,0.0500,152284.64,381.20
44000,415.7,217841.7,529292,898181,99.8000,99.0000,96.8500,87.4500,44.6000,0.1500,152111.55,381.80
46000,434.6,217724.5,389436,898563,99.8000,98.8500,96.4000,86.2500,45.5500,0.0000,152413.58,379.64
48000,452.9,214777.5,418020,899748,99.8500,98.7000,95.8500,85.6500,43.4500,0.0000,152604.26,379.51
50000,472.0,214549.9,408772,899192,99.9500,99.4000,96.2500,86.1000,44.2500,0.0000,152658.43,383.49
52000,490.9,216835.2,440528,899449,99.5500,98.5000,95.7000,86.7500,44.4500,0.0000,152420.09,382.01
54000,510.1,218737.1,505592,899396,99.8000,98.8500,96.2000,87.1000,46.4000,0.0500,152427.06,383.46
56000,529.1,216434.5,466352,899376,99.7000,98.7000,95.5500,86.1000,45.6500,0.0500,152771.49,381.48
58000,548.3,217787.3,407392,899193,99.7500,98.9500,96.1500,87.0000,45.6000,0.0000,152567.00,382.32
60000,567.3,215675.7,472336,899101,99.9500,99.2500,95.5500,85.3500,44.6000,0.0500,152669.05,381.50
62000,586.5,217562.3,410840,898908,99.8500,99.1000,96.2000,87.1500,45.5000,0.0000,153015.94,379.25
64000,605.7,217893.1,419564,898831,99.7500,98.5500,96.3000,87.2000,45.6500,0.0000,153023.00,380.58
66000,624.6,214984.1,407264,898842,99.7000,98.9500,96.2500,86.5500,43.8500,0.0000,153269.04,379.90
68000,643.4,215333.7,405340,898980,99.6500,98.9000,95.6500,85.6000,44.6500,0.0000,153026.16,383.03
70000,662.1,213042.6,387052,898977,99.9000,98.8000,95.9500,86.1000,43.2000,0.0000,153381.98,382.67
72000,681.1,215846.0,523576,898917,99.9000,98.7500,95.5500,87.1000,44.7000,0.0500,153212.92,382.13
